exon_gencodeID	chr	start	end	strand	gencodeID	gene_Symbol	logFC	t	P.Value	adj.P.Val
ENSMUSE00000660025.2	chr15	3,277,157	3,277,274	+	ENSMUSG00000064373.12	Selenop	0.372658175	7.735513754	0.00000000001820	0.000000220
ENSMUSE00000985676.1	chr7	141,314,862	141,314,988	-	ENSMUSG00000058886.9	Deaf1	0.311377662	7.681779844	0.00000000002333	0.000000242
ENSMUSE00001393372.1	chr8	94,179,823	94,180,327	+	ENSMUSG00000031765.8	Mt1	0.423530296	7.647309324	0.00000000002737	0.000000265
ENSMUSE00000863498.1	chr15	3,277,157	3,277,271	+	ENSMUSG00000064373.12	Selenop	0.371175782	7.630169730	0.00000000002962	0.000000278
ENSMUSE00000648106.1	chr11	99,006,003	99,006,151	-	ENSMUSG00000020914.17	Top2a	-0.365386780	-7.584861410	0.00000000003652	0.000000310
ENSMUSE00000811007.1	chr11	99,003,625	99,003,707	-	ENSMUSG00000020914.17	Top2a	-0.354324525	-7.562433255	0.00000000004050	0.000000310
ENSMUSE00001210980.1	chrX	74,339,070	74,339,136	+	ENSMUSG00000031398.13	Plxna3	-0.320046107	-7.588008285	0.00000000003599	0.000000310
ENSMUSE00000790675.1	chrX	74,339,070	74,339,159	+	ENSMUSG00000031398.13	Plxna3	-0.316656960	-7.531183794	0.00000000004678	0.000000340
ENSMUSE00000749332.1	chr11	99,006,003	99,006,522	-	ENSMUSG00000020914.17	Top2a	-0.359832144	-7.503452433	0.00000000005316	0.000000377
ENSMUSE00000660026.3	chr15	3,279,102	3,280,508	+	ENSMUSG00000064373.12	Selenop	0.353971190	7.460844668	0.00000000006469	0.000000428
ENSMUSE00000848711.1	chr15	3,279,102	3,280,507	+	ENSMUSG00000064373.12	Selenop	0.353971190	7.460844668	0.00000000006469	0.000000428
ENSMUSE00000905468.1	chr15	81,814,944	81,815,209	+	ENSMUSG00000022389.15	Tef	0.281510702	7.430384784	0.00000000007443	0.000000451
ENSMUSE00001244844.1	chrX	74,341,536	74,341,748	+	ENSMUSG00000031398.13	Plxna3	-0.394388053	-7.421665171	0.00000000007747	0.000000460
ENSMUSE00001390860.1	chr8	94,179,241	94,180,325	+	ENSMUSG00000031765.8	Mt1	0.392632921	7.401882691	0.00000000008485	0.000000475
ENSMUSE00001446998.1	chr16	73,898,962	73,899,184	-	ENSMUSG00000052516.19	Robo2	-0.530204823	-7.402299383	0.00000000008469	0.000000475
ENSMUSE00000289743.3	chr1	189,652,261	189,655,092	-	ENSMUSG00000026605.14	Cenpf	-0.339485346	-7.362127048	0.00000000010186	0.000000526
ENSMUSE00000901879.2	chr6	30,747,052	30,748,462	+	ENSMUSG00000051855.15	Mest	-0.286587510	-7.372151025	0.00000000009727	0.000000526
ENSMUSE00001360901.1	chr6	30,747,052	30,748,465	+	ENSMUSG00000051855.15	Mest	-0.286470118	-7.366729363	0.00000000009973	0.000000526
ENSMUSE00000798594.1	chrX	74,341,587	74,342,071	+	ENSMUSG00000031398.13	Plxna3	-0.330743115	-7.355707933	0.00000000010491	0.000000526
ENSMUSE00000475090.1	chr16	73,898,912	73,899,184	-	ENSMUSG00000052516.19	Robo2	-0.527081305	-7.341626223	0.00000000011191	0.000000551
ENSMUSE00001278243.1	chrX	74,339,466	74,339,625	+	ENSMUSG00000031398.13	Plxna3	-0.324977789	-7.338030596	0.00000000011377	0.000000551
ENSMUSE00001232777.1	chr15	81,814,944	81,815,261	+	ENSMUSG00000022389.15	Tef	0.270992481	7.316086879	0.00000000012582	0.000000587
ENSMUSE00001257550.1	chrX	74,339,242	74,339,388	+	ENSMUSG00000031398.13	Plxna3	-0.325374797	-7.319785669	0.00000000012371	0.000000587
ENSMUSE00000660024.2	chr15	3,275,567	3,275,779	+	ENSMUSG00000064373.12	Selenop	0.364736800	7.299933373	0.00000000013550	0.000000597
ENSMUSE00000325894.1	chr19	37,417,901	37,418,017	+	ENSMUSG00000012443.4	Kif11	-0.366458785	-7.282077156	0.00000000014706	0.000000617
ENSMUSE00000362649.3	chr19	23,164,683	23,168,134	+	ENSMUSG00000033863.2	Klf9	0.284548575	7.268094569	0.00000000015679	0.000000625
ENSMUSE00001079109.1	chr7	141,314,334	141,314,462	-	ENSMUSG00000058886.9	Deaf1	0.305538624	7.258423856	0.00000000016389	0.000000627
ENSMUSE00001311762.1	chr11	99,004,112	99,004,343	-	ENSMUSG00000020914.17	Top2a	-0.336262351	-7.262422359	0.00000000016091	0.000000627
ENSMUSE00000856644.1	chr15	3,275,567	3,275,664	+	ENSMUSG00000064373.12	Selenop	0.364216893	7.259214330	0.00000000016329	0.000000627
ENSMUSE00000868615.1	chr15	3,275,567	3,275,735	+	ENSMUSG00000064373.12	Selenop	0.365034864	7.247008135	0.00000000017268	0.000000633
ENSMUSE00001387072.1	chr7	141,314,401	141,314,462	-	ENSMUSG00000058886.9	Deaf1	0.306808333	7.232750821	0.00000000018432	0.000000646
ENSMUSE00000908868.1	chr2	180,101,013	180,101,416	-	ENSMUSG00000039059.11	Hrh3	0.451857129	7.223235172	0.00000000019253	0.000000647
ENSMUSE00000648102.1	chr11	99,002,874	99,003,069	-	ENSMUSG00000020914.17	Top2a	-0.386012716	-7.217151532	0.00000000019796	0.000000647
ENSMUSE00000385358.1	chr19	58,990,189	58,990,381	-	ENSMUSG00000041362.17	Shtn1	-0.568234340	-7.167518723	0.00000000024837	0.000000785
ENSMUSE00000747615.1	chr2	148,872,848	148,872,930	-	ENSMUSG00000027447.6	Cst3	0.253149011	7.152247960	0.00000000026631	0.000000824
ENSMUSE00000648126.2	chr11	98,992,943	98,993,413	-	ENSMUSG00000020914.17	Top2a	-0.331876727	-7.128249418	0.00000000029713	0.000000910
ENSMUSE00001258591.1	chr11	99,003,826	99,003,960	-	ENSMUSG00000020914.17	Top2a	-0.339274008	-7.116169074	0.00000000031396	0.000000951
ENSMUSE00000169824.1	chr2	152,884,174	152,884,312	+	ENSMUSG00000027469.16	Tpx2	-0.306690210	-7.095762163	0.00000000034457	0.000001021
ENSMUSE00000785452.1	chr2	152,884,174	152,884,437	+	ENSMUSG00000027469.16	Tpx2	-0.306172231	-7.093746874	0.00000000034775	0.000001021
ENSMUSE00000890358.1	chr2	180,100,984	180,101,416	-	ENSMUSG00000039059.11	Hrh3	0.440859034	7.091739705	0.00000000035095	0.000001021
ENSMUSE00000789698.1	chrX	74,338,266	74,338,601	+	ENSMUSG00000031398.13	Plxna3	-0.307718010	-7.091570943	0.00000000035122	0.000001021
ENSMUSE00000905664.1	chr16	45,407,194	45,407,311	-	ENSMUSG00000022661.14	Cd200	0.502573017	7.064995544	0.00000000039641	0.000001130
ENSMUSE00000477315.2	chr7	141,322,462	141,322,608	-	ENSMUSG00000058886.9	Deaf1	0.271157089	7.040398179	0.00000000044336	0.000001188
ENSMUSE00001222267.1	chr11	98,994,207	98,994,406	-	ENSMUSG00000020914.17	Top2a	-0.329122376	-7.039294434	0.00000000044559	0.000001188
ENSMUSE00000836581.1	chr11	99,000,974	99,001,260	-	ENSMUSG00000020914.17	Top2a	-0.309565065	-7.037465311	0.00000000044932	0.000001188
ENSMUSE00001391722.1	chr8	94,179,211	94,179,338	+	ENSMUSG00000031765.8	Mt1	0.353850195	7.006612008	0.00000000051697	0.000001330
ENSMUSE00000648100.1	chr11	99,000,974	99,001,132	-	ENSMUSG00000020914.17	Top2a	-0.309440443	-7.004461174	0.00000000052205	0.000001332
ENSMUSE00001382533.1	chr7	141,322,481	141,322,608	-	ENSMUSG00000058886.9	Deaf1	0.269974163	7.000107827	0.00000000053248	0.000001346
ENSMUSE00000885723.2	chr8	94,179,082	94,179,338	+	ENSMUSG00000031765.8	Mt1	0.352327417	6.981982785	0.00000000057817	0.000001437
ENSMUSE00000750883.1	chr11	99,000,655	99,000,851	-	ENSMUSG00000020914.17	Top2a	-0.323008494	-6.971676482	0.00000000060586	0.000001493
ENSMUSE00000648099.1	chr11	99,000,768	99,000,851	-	ENSMUSG00000020914.17	Top2a	-0.323364076	-6.966367883	0.00000000062063	0.000001517
ENSMUSE00001234076.1	chrX	74,338,459	74,338,601	+	ENSMUSG00000031398.13	Plxna3	-0.307475163	-6.962168637	0.00000000063257	0.000001533
ENSMUSE00000996558.1	chr7	141,310,762	141,311,009	-	ENSMUSG00000058886.9	Deaf1	0.296547340	6.936767236	0.00000000070980	0.000001626
ENSMUSE00001387487.1	chr7	141,310,293	141,311,009	-	ENSMUSG00000058886.9	Deaf1	0.296146707	6.939852126	0.00000000069994	0.000001626
ENSMUSE00000999620.1	chr7	141,313,220	141,313,348	-	ENSMUSG00000058886.9	Deaf1	0.299539976	6.922932373	0.00000000075573	0.000001704
ENSMUSE00000402560.1	chr19	58,995,018	58,995,138	-	ENSMUSG00000041362.17	Shtn1	-0.565975858	-6.923321614	0.00000000075440	0.000001704
ENSMUSE00001363533.1	chr5	33,990,510	33,993,062	-	ENSMUSG00000106743.1	Gm42847	0.306995436	6.912925132	0.00000000079078	0.000001741
ENSMUSE00000112508.1	chr11	98,995,244	98,995,378	-	ENSMUSG00000020914.17	Top2a	-0.315203423	-6.911865942	0.00000000079458	0.000001741
ENSMUSE00001385460.1	chr7	141,313,225	141,313,348	-	ENSMUSG00000058886.9	Deaf1	0.299863527	6.908098392	0.00000000080825	0.000001754
ENSMUSE00000680715.3	chr15	81,823,466	81,826,863	+	ENSMUSG00000022389.15	Tef	0.259422668	6.904159999	0.00000000082280	0.000001760
ENSMUSE00000916607.1	chr15	81,823,466	81,826,698	+	ENSMUSG00000022389.15	Tef	0.258875156	6.898980129	0.00000000084232	0.000001788
ENSMUSE00001285719.1	chrX	74,340,843	74,341,012	+	ENSMUSG00000031398.13	Plxna3	-0.312521258	-6.888580875	0.00000000088291	0.000001861
ENSMUSE00000661225.1	chr2	165,351,297	165,354,071	-	ENSMUSG00000056824.15	Zfp663	-0.519386779	-6.881117187	0.00000000091324	0.000001867
ENSMUSE00000475876.7	chr2	165,351,298	165,354,071	-	ENSMUSG00000056824.15	Zfp663	-0.519386779	-6.881117187	0.00000000091324	0.000001867
ENSMUSE00000509753.1	chr5	31,069,519	31,069,686	+	ENSMUSG00000013629.16	Cad	-0.364422306	-6.884311102	0.00000000090014	0.000001867
ENSMUSE00000112512.1	chr11	98,995,850	98,995,973	-	ENSMUSG00000020914.17	Top2a	-0.304461067	-6.879887140	0.00000000091833	0.000001867
ENSMUSE00001044639.1	chr11	98,995,244	98,995,375	-	ENSMUSG00000020914.17	Top2a	-0.315157670	-6.881485793	0.00000000091172	0.000001867
ENSMUSE00000112511.1	chr11	98,996,729	98,996,875	-	ENSMUSG00000020914.17	Top2a	-0.334042652	-6.844421853	0.00000000107803	0.000002121
ENSMUSE00000551315.1	chrX	74,338,134	74,338,368	+	ENSMUSG00000031398.13	Plxna3	-0.313356760	-6.842560277	0.00000000108714	0.000002122
ENSMUSE00001302897.1	chrX	74,341,921	74,342,071	+	ENSMUSG00000031398.13	Plxna3	-0.316401446	-6.839673746	0.00000000110141	0.000002135
ENSMUSE00000362397.8	chr9	37,384,509	37,386,575	+	ENSMUSG00000046240.8	Hepacam	0.274706918	6.836095493	0.00000000111935	0.000002154
ENSMUSE00000742232.1	chr11	98,995,244	98,995,370	-	ENSMUSG00000020914.17	Top2a	-0.314597348	-6.834851359	0.00000000112566	0.000002154
ENSMUSE00001388490.1	chr7	141,310,762	141,310,920	-	ENSMUSG00000058886.9	Deaf1	0.300766938	6.820346037	0.00000000120185	0.000002255
ENSMUSE00001311619.1	chrX	20,635,731	20,635,914	+	ENSMUSG00000031060.16	Rbm10	-0.278389197	-6.822914161	0.00000000118799	0.000002255
ENSMUSE00000771823.1	chr11	98,993,071	98,993,325	-	ENSMUSG00000020914.17	Top2a	-0.337527758	-6.809940874	0.00000000125963	0.000002299
ENSMUSE00000787465.1	chrX	74,338,349	74,338,601	+	ENSMUSG00000031398.13	Plxna3	-0.295881990	-6.806830781	0.00000000127743	0.000002299
ENSMUSE00000849789.1	chr5	138,271,279	138,274,569	-	ENSMUSG00000106247.1	Gm43720	-0.261817547	-6.798431518	0.00000000132675	0.000002367
ENSMUSE00000848743.1	chr5	138,273,655	138,274,569	-	ENSMUSG00000029510.15	Gpc2	-0.262014424	-6.792943879	0.00000000135999	0.000002368
ENSMUSE00000860983.1	chr5	138,273,657	138,274,569	-	ENSMUSG00000029510.15	Gpc2	-0.262014424	-6.792943879	0.00000000135999	0.000002368
ENSMUSE00000860635.1	chr5	138,273,660	138,274,569	-	ENSMUSG00000029510.15	Gpc2	-0.262014424	-6.792943879	0.00000000135999	0.000002368
ENSMUSE00000169817.1	chr2	152,888,103	152,888,195	+	ENSMUSG00000027469.16	Tpx2	-0.278839979	-6.787172782	0.00000000139584	0.000002390
ENSMUSE00001385866.1	chr7	141,297,473	141,297,616	-	ENSMUSG00000058886.9	Deaf1	0.285176674	6.786943192	0.00000000139729	0.000002390
ENSMUSE00000607131.1	chr8	71,649,854	71,649,922	-	ENSMUSG00000034799.16	Unc13a	-0.273756779	-6.789031079	0.00000000138420	0.000002390
ENSMUSE00000756420.1	chr11	98,993,467	98,993,935	-	ENSMUSG00000020914.17	Top2a	-0.335405994	-6.779681469	0.00000000144378	0.000002455
ENSMUSE00000432479.3	chr6	30,745,082	30,745,183	+	ENSMUSG00000051855.15	Mest	-0.290486851	-6.773081885	0.00000000148736	0.000002515
ENSMUSE00000812175.1	chr2	158,598,173	158,603,185	-	ENSMUSG00000086496.1	Gm14204	-0.447368333	-6.770583151	0.00000000150420	0.000002528
ENSMUSE00000402303.3	chr14	32,058,146	32,062,197	+	ENSMUSG00000021903.11	Galnt15	0.542570700	6.760397173	0.00000000157482	0.000002632
ENSMUSE00000739850.1	chr2	148,875,153	148,875,383	-	ENSMUSG00000027447.6	Cst3	0.261262734	6.745547667	0.00000000168370	0.000002760
ENSMUSE00001384974.1	chr7	141,327,279	141,327,493	-	ENSMUSG00000058886.9	Deaf1	0.353671979	6.744147234	0.00000000169434	0.000002760
ENSMUSE00000755719.1	chr2	148,875,153	148,875,576	-	ENSMUSG00000027447.6	Cst3	0.260983042	6.740664000	0.00000000172111	0.000002765
ENSMUSE00000377682.7	chr2	148,875,153	148,875,451	-	ENSMUSG00000027447.6	Cst3	0.261003905	6.741487277	0.00000000171474	0.000002765
ENSMUSE00001386953.1	chr7	141,327,279	141,327,672	-	ENSMUSG00000058886.9	Deaf1	0.344933885	6.728032231	0.00000000182174	0.000002848
ENSMUSE00000482809.6	chr7	141,327,279	141,327,690	-	ENSMUSG00000058886.9	Deaf1	0.345228008	6.728108294	0.00000000182112	0.000002848
ENSMUSE00001347482.1	chr5	138,278,839	138,278,997	-	ENSMUSG00000106247.1	Gm43720	-0.267324599	-6.723044694	0.00000000186306	0.000002855
ENSMUSE00000870447.1	chr5	138,278,839	138,279,985	-	ENSMUSG00000029510.15	Gpc2	-0.260835793	-6.721587993	0.00000000187531	0.000002855
ENSMUSE00000902870.2	chr7	141,297,180	141,297,616	-	ENSMUSG00000058886.9	Deaf1	0.281814110	6.723648098	0.00000000185802	0.000002855
ENSMUSE00001387577.1	chr7	141,297,185	141,297,616	-	ENSMUSG00000058886.9	Deaf1	0.281814110	6.723648098	0.00000000185802	0.000002855
ENSMUSE00000648113.1	chr11	99,010,474	99,010,599	-	ENSMUSG00000020914.17	Top2a	-0.377672970	-6.718347799	0.00000000190283	0.000002867
ENSMUSE00001386466.1	chr7	141,327,279	141,327,584	-	ENSMUSG00000058886.9	Deaf1	0.346809730	6.716830199	0.00000000191585	0.000002872
ENSMUSE00001387012.1	chr7	141,327,279	141,327,578	-	ENSMUSG00000058886.9	Deaf1	0.346814033	6.710560130	0.00000000197062	0.000002939
ENSMUSE00000774287.1	chr15	76,119,517	76,120,338	-	ENSMUSG00000044361.16	BC024139	-0.472946202	-6.703637225	0.00000000203288	0.000002986
ENSMUSE00000559368.2	chr15	76,119,521	76,120,338	-	ENSMUSG00000044361.16	BC024139	-0.472946202	-6.703637225	0.00000000203288	0.000002986
ENSMUSE00000738913.1	chrX	74,343,447	74,343,945	+	ENSMUSG00000031398.13	Plxna3	-0.297986143	-6.704461370	0.00000000202537	0.000002986
ENSMUSE00001384367.1	chr7	141,313,220	141,313,264	-	ENSMUSG00000058886.9	Deaf1	0.295543126	6.700703545	0.00000000205986	0.000003010
ENSMUSE00000245638.5	chr9	65,901,558	65,903,266	+	ENSMUSG00000040204.6	Pclaf	-0.324229573	-6.691097574	0.00000000215067	0.000003127
ENSMUSE00001385013.1	chr7	141,324,082	141,324,132	-	ENSMUSG00000058886.9	Deaf1	0.268958487	6.687303662	0.00000000218763	0.000003165
ENSMUSE00001403326.1	chr9	123,017,245	123,017,718	+	ENSMUSG00000036768.6	Kif15	-0.398302383	-6.667037554	0.00000000239594	0.000003399
ENSMUSE00000531413.1	chr12	76,048,501	76,048,653	+	ENSMUSG00000063450.14	Syne2	-0.451934446	-6.663436509	0.00000000243496	0.000003437
ENSMUSE00000476274.2	chr7	141,322,890	141,323,019	-	ENSMUSG00000058886.9	Deaf1	0.263811699	6.662175036	0.00000000244877	0.000003440
ENSMUSE00000955535.1	chr14	116,524,280	116,525,179	+	ENSMUSG00000022112.14	Gpc5	0.362717839	6.658881284	0.00000000248522	0.000003475
ENSMUSE00001297065.1	chrX	74,340,431	74,340,621	+	ENSMUSG00000031398.13	Plxna3	-0.294666452	-6.657344339	0.00000000250240	0.000003482
ENSMUSE00001210006.1	chr1	74,635,715	74,636,894	+	ENSMUSG00000033276.18	Stk36	-0.380698144	-6.652448005	0.00000000255795	0.000003525
ENSMUSE00000966632.1	chr1	74,635,715	74,636,891	+	ENSMUSG00000033276.18	Stk36	-0.380698144	-6.652448005	0.00000000255795	0.000003525
ENSMUSE00001308167.1	chr11	98,993,764	98,993,935	-	ENSMUSG00000020914.17	Top2a	-0.320587192	-6.644849440	0.00000000264658	0.000003585
ENSMUSE00000402823.2	chr19	37,411,331	37,411,610	+	ENSMUSG00000012443.4	Kif11	-0.324018011	-6.639252766	0.00000000271380	0.000003637
ENSMUSE00001283974.1	chrX	74,339,775	74,339,878	+	ENSMUSG00000031398.13	Plxna3	-0.307583877	-6.632001304	0.00000000280342	0.000003706
ENSMUSE00000650785.4	chr5	114,812,793	114,813,205	-	ENSMUSG00000072694.8	1500011B03Rik	0.582493726	6.624207869	0.00000000290300	0.000003789
ENSMUSE00000487112.3	chr7	141,324,082	141,324,179	-	ENSMUSG00000058886.9	Deaf1	0.269191592	6.624033442	0.00000000290527	0.000003789
ENSMUSE00001458575.1	chr19	37,402,181	37,403,649	+	ENSMUSG00000012443.4	Kif11	-0.349127839	-6.605991735	0.00000000314964	0.000004071
ENSMUSE00001350775.1	chr5	138,278,215	138,278,537	-	ENSMUSG00000106247.1	Gm43720	-0.261370605	-6.601499069	0.00000000321359	0.000004117
ENSMUSE00000123085.1	chr14	65,815,172	65,815,301	+	ENSMUSG00000022033.9	Pbk	-0.274646901	-6.601776905	0.00000000320960	0.000004117
ENSMUSE00000648118.1	chr11	99,014,688	99,014,789	-	ENSMUSG00000020914.17	Top2a	-0.402163313	-6.599346677	0.00000000324468	0.000004138
ENSMUSE00001273420.1	chr8	105,637,116	105,637,350	-	ENSMUSG00000098120.1	Gm5914	0.471479628	6.592803645	0.00000000334104	0.000004225
ENSMUSE00001299863.1	chr10	69,993,545	69,993,762	+	ENSMUSG00000069601.14	Ank3	-0.267143898	-6.583077952	0.00000000348953	0.000004374
ENSMUSE00000915220.1	chr2	180,100,279	180,101,416	-	ENSMUSG00000039059.11	Hrh3	0.357911842	6.576184033	0.00000000359873	0.000004472
ENSMUSE00000858096.1	chr5	138,276,584	138,277,487	-	ENSMUSG00000029510.15	Gpc2	-0.254190421	-6.569911867	0.00000000370101	0.000004522
ENSMUSE00000484228.1	chr5	31,066,981	31,067,225	+	ENSMUSG00000013629.16	Cad	-0.370755760	-6.557724277	0.00000000390805	0.000004716
ENSMUSE00000819752.1	chrX	74,343,447	74,344,689	+	ENSMUSG00000031398.13	Plxna3	-0.306417272	-6.554829339	0.00000000395890	0.000004743
ENSMUSE00000752284.1	chrX	74,343,447	74,344,683	+	ENSMUSG00000031398.13	Plxna3	-0.306437880	-6.554595458	0.00000000396303	0.000004743
ENSMUSE00000794783.1	chrX	151,859,455	151,859,688	+	ENSMUSG00000025261.18	Huwe1	-0.738301247	-6.541876144	0.00000000419452	0.000004958
ENSMUSE00000205359.1	chr7	135,693,080	135,693,496	-	ENSMUSG00000031004.8	Mki67	-0.366334040	-6.540647136	0.00000000421759	0.000004965
ENSMUSE00000903635.1	chr2	180,099,465	180,101,416	-	ENSMUSG00000039059.11	Hrh3	0.349882645	6.536144006	0.00000000430317	0.000004986
ENSMUSE00000833160.1	chrX	74,339,242	74,339,316	+	ENSMUSG00000031398.13	Plxna3	-0.300694238	-6.536480573	0.00000000429672	0.000004986
ENSMUSE00000357437.4	chr14	67,676,355	67,678,022	-	ENSMUSG00000048922.18	Cdca2	-0.349925762	-6.529331603	0.00000000443593	0.000005079
ENSMUSE00000136528.3	chr17	53,678,910	53,679,701	-	ENSMUSG00000023940.14	Sgo1	-0.355968186	-6.528321694	0.00000000445595	0.000005082
ENSMUSE00000899445.1	chr2	180,100,500	180,101,416	-	ENSMUSG00000039059.11	Hrh3	0.365339776	6.519959150	0.00000000462522	0.000005234
ENSMUSE00000604824.2	chr4	45,885,251	45,887,008	+	ENSMUSG00000028327.14	Stra6l	-0.488112381	-6.508190085	0.00000000487428	0.000005431
ENSMUSE00000803028.2	chr14	67,676,331	67,678,022	-	ENSMUSG00000048922.18	Cdca2	-0.350008675	-6.509540071	0.00000000484505	0.000005431
ENSMUSE00000217823.3	chr9	70,413,102	70,413,272	-	ENSMUSG00000032218.7	Ccnb2	-0.358599753	-6.504409392	0.00000000495707	0.000005502
ENSMUSE00000734360.1	chr2	152,882,269	152,882,362	+	ENSMUSG00000027469.16	Tpx2	-0.280888726	-6.490751223	0.00000000526791	0.000005803
ENSMUSE00000169820.1	chr2	152,889,146	152,889,322	+	ENSMUSG00000027469.16	Tpx2	-0.300171553	-6.481329101	0.00000000549352	0.000005939
ENSMUSE00000856567.1	chr5	138,275,482	138,275,624	-	ENSMUSG00000029510.15	Gpc2	-0.259161659	-6.478057019	0.00000000557408	0.000006003
ENSMUSE00001352831.1	chr5	50,059,096	50,061,662	+	ENSMUSG00000106430.1	Gm42460	0.368693793	6.471692382	0.00000000573415	0.000006121
ENSMUSE00000495068.1	chrX	6,934,418	6,934,552	+	ENSMUSG00000062393.13	Dgkk	-0.680847611	-6.471200342	0.00000000574671	0.000006121
ENSMUSE00001286306.1	chr1	82,745,524	82,745,556	+	ENSMUSG00000026150.14	Mff	0.372114383	6.456696147	0.00000000612951	0.000006435
ENSMUSE00000498473.2	chr6	77,257,312	77,257,791	+	ENSMUSG00000060780.2	Lrrtm1	0.351112837	6.453695972	0.00000000621179	0.000006498
ENSMUSE00000946931.1	chr17	85,607,927	85,612,990	-	ENSMUSG00000093460.9	Six3os1	-0.470156727	-6.449310504	0.00000000633402	0.000006532
ENSMUSE00001428514.1	chr13	114,452,290	114,453,805	-	ENSMUSG00000021765.9	Fst	0.382249293	6.440487209	0.00000000658720	0.000006721
ENSMUSE00000804537.1	chr4	53,621,595	53,621,987	+	ENSMUSG00000028412.17	Slc44a1	0.465170286	6.428529546	0.00000000694637	0.000007038
ENSMUSE00000432474.3	chr6	30,745,830	30,745,906	+	ENSMUSG00000051855.15	Mest	-0.305611436	-6.410141284	0.00000000753683	0.000007506
ENSMUSE00000394890.1	chr9	37,381,542	37,381,823	+	ENSMUSG00000046240.8	Hepacam	0.283895627	6.408479415	0.00000000759258	0.000007536
