transcript_id	transcript_name	gencodeID	gene_Symbol	logFC	t	P.Value	adj.P.Val
ENSMUST00000102931.10	Nsmf-204	ENSMUSG00000006476.19	Nsmf	0.194023787	7.126577253	0.000000000456	0.0000015732
ENSMUST00000161827.7	Gpc2-205	ENSMUSG00000029510.15	Gpc2	-0.278046710	-7.153468078	0.000000000405	0.0000015732
ENSMUST00000070673.8	Rab31-201	ENSMUSG00000056515.9	Rab31	0.143170340	7.137629056	0.000000000434	0.0000015732
ENSMUST00000017065.14	Srsf6-201	ENSMUSG00000016921.14	Srsf6	-0.401954433	-7.095023943	0.000000000523	0.0000017066
ENSMUST00000058230.12	Ensa-202	ENSMUSG00000038619.12	Ensa	0.273278883	6.986455003	0.000000000842	0.0000026021
ENSMUST00000033310.8	Mki67-201	ENSMUSG00000031004.8	Mki67	-0.348311448	-6.948752163	0.000000000993	0.0000029153
ENSMUST00000077340.13	Rnpep-202	ENSMUSG00000041926.15	Rnpep	-0.352163928	-6.904019035	0.000000001208	0.0000033758
ENSMUST00000171929.7	Cenpf-204	ENSMUSG00000026605.14	Cenpf	-0.280478802	-6.875491247	0.000000001368	0.0000036416
ENSMUST00000004326.3	Plxna3-201	ENSMUSG00000031398.13	Plxna3	-0.377672388	-6.865806139	0.000000001427	0.0000036416
ENSMUST00000107361.8	Kcnh4-201	ENSMUSG00000035355.15	Kcnh4	-0.388362080	-6.850817724	0.000000001523	0.0000037256
ENSMUST00000144349.1	Psip1-206	ENSMUSG00000028484.16	Psip1	-0.274345371	-6.841069570	0.000000001590	0.0000037318
ENSMUST00000239245.1	Huwe1-224	ENSMUSG00000025261.18	Huwe1	-0.750116653	-6.822680908	0.000000001722	0.0000038876
ENSMUST00000052708.6	Ckap2l-201	ENSMUSG00000048327.6	Ckap2l	-0.213845197	-6.812744117	0.000000001798	0.0000039092
ENSMUST00000013773.11	Cad-201	ENSMUSG00000013629.16	Cad	-0.255591964	-6.777355295	0.000000002098	0.0000043973
ENSMUST00000047511.14	Shtn1-201	ENSMUSG00000041362.17	Shtn1	-0.532189208	-6.756958824	0.000000002292	0.0000046394
ENSMUST00000172091.1	Cd200-210	ENSMUSG00000022661.14	Cd200	0.458401274	6.721382419	0.000000002675	0.0000052343
ENSMUST00000088248.12	Ube2c-202	ENSMUSG00000001403.13	Ube2c	-0.278105019	-6.691938839	0.000000003040	0.0000055760
ENSMUST00000045607.11	Melk-201	ENSMUSG00000035683.13	Melk	-0.249339808	-6.694550993	0.000000003006	0.0000055760
ENSMUST00000051839.8	Hepacam-201	ENSMUSG00000046240.8	Hepacam	0.241352762	6.683224628	0.000000003157	0.0000055953
ENSMUST00000093219.3	Nsg2-202	ENSMUSG00000020297.10	Nsg2	-0.304229904	-6.677158538	0.000000003241	0.0000055953
ENSMUST00000114874.4	Clec2l-201	ENSMUSG00000079598.4	Clec2l	0.155119786	6.656252312	0.000000003549	0.0000057856
ENSMUST00000045312.5	Smc1a-201	ENSMUSG00000041133.11	Smc1a	-0.170462240	-6.658022581	0.000000003522	0.0000057856
ENSMUST00000001480.13	Npepps-201	ENSMUSG00000001441.13	Npepps	-0.203328947	-6.642648156	0.000000003764	0.0000059034
ENSMUST00000103035.9	Kctd2-201	ENSMUSG00000016940.18	Kctd2	0.175064828	6.639113985	0.000000003822	0.0000059034
ENSMUST00000043848.10	Ncapd2-201	ENSMUSG00000038252.13	Ncapd2	-0.217194769	-6.616043392	0.000000004223	0.0000063559
ENSMUST00000213168.1	Vps13c-202	ENSMUSG00000035284.10	Vps13c	-0.376022683	-6.597804349	0.000000004570	0.0000067056
ENSMUST00000061251.5	1500011B03Rik-201	ENSMUSG00000072694.8	1500011B03Rik	0.535954895	6.568543214	0.000000005186	0.0000070783
ENSMUST00000215821.1	Tmod3-205	ENSMUSG00000058587.9	Tmod3	0.183665347	6.572881730	0.000000005090	0.0000070783
ENSMUST00000021164.3	Pimreg-201	ENSMUSG00000020808.3	Pimreg	-0.220243327	-6.569088680	0.000000005174	0.0000070783
ENSMUST00000084296.9	Cdca8-202	ENSMUSG00000028873.16	Cdca8	-0.208177287	-6.495766593	0.000000007097	0.0000094676
ENSMUST00000143787.2	9630028B13Rik-201	ENSMUSG00000051295.8	9630028B13Rik	-0.235146963	-6.471925305	0.000000007864	0.0000098211
ENSMUST00000123944.1	Gm14204-202	ENSMUSG00000086496.1	Gm14204	-0.387560428	-6.476753174	0.000000007703	0.0000098211
ENSMUST00000065906.8	Ggcx-201	ENSMUSG00000053460.8	Ggcx	-0.266251749	-6.474329565	0.000000007784	0.0000098211
ENSMUST00000099145.5	Dlgap4-203	ENSMUSG00000061689.15	Dlgap4	-0.329645826	-6.451881465	0.000000008572	0.0000103300
ENSMUST00000066257.5	Khdrbs1-201	ENSMUSG00000028790.13	Khdrbs1	-0.158518755	-6.450485964	0.000000008624	0.0000103300
ENSMUST00000087183.10	Stk36-201	ENSMUSG00000033276.18	Stk36	-0.362749108	-6.435909085	0.000000009181	0.0000107777
ENSMUST00000109816.7	Tpx2-202	ENSMUSG00000027469.16	Tpx2	-0.375881085	-6.423601039	0.000000009680	0.0000111400
ENSMUST00000016081.12	Macroh2a1-201	ENSMUSG00000015937.15	Macroh2a1	-0.218365330	-6.414396134	0.000000010070	0.0000113661
ENSMUST00000230494.1	Ndufa6-205	ENSMUSG00000022450.6	Ndufa6	0.415864676	6.397345861	0.000000010834	0.0000119980
ENSMUST00000022612.9	Pbk-201	ENSMUSG00000022033.9	Pbk	-0.235412283	-6.369891624	0.000000012187	0.0000132464
ENSMUST00000064187.11	Thra-201	ENSMUSG00000058756.13	Thra	0.133954417	6.356164078	0.000000012925	0.0000137931
ENSMUST00000022460.10	Galnt15-201	ENSMUSG00000021903.11	Galnt15	0.313436699	6.341001835	0.000000013792	0.0000144551
ENSMUST00000034740.14	Nedd4-201	ENSMUSG00000032216.15	Nedd4	-0.198916881	-6.336634568	0.000000014052	0.0000144693
ENSMUST00000080178.12	Pabpc4-202	ENSMUSG00000011257.19	Pabpc4	-0.353649568	-6.331366407	0.000000014372	0.0000145439
ENSMUST00000044766.14	4930402H24Rik-201	ENSMUSG00000027309.18	4930402H24Rik	-0.224391495	-6.323223334	0.000000014881	0.0000146600
ENSMUST00000000608.7	Gm2a-201	ENSMUSG00000000594.7	Gm2a	0.139735547	6.320869102	0.000000015032	0.0000146600
ENSMUST00000023756.11	Racgap1-201	ENSMUSG00000023015.14	Racgap1	-0.181033522	-6.315356879	0.000000015390	0.0000146600
ENSMUST00000025739.13	Uhrf2-201	ENSMUSG00000024817.13	Uhrf2	-0.214954439	-6.313907366	0.000000015486	0.0000146600
ENSMUST00000209205.1	Gm33940-201	ENSMUSG00000109733.1	Gm33940	0.295905794	6.288668612	0.000000017249	0.0000151101
ENSMUST00000099131.10	Smarcc2-202	ENSMUSG00000025369.15	Smarcc2	-0.225920080	-6.297364421	0.000000016620	0.0000151101
ENSMUST00000038574.6	Dhx29-201	ENSMUSG00000042426.6	Dhx29	-0.222744442	-6.290858755	0.000000017088	0.0000151101
ENSMUST00000046470.15	Mettl22-201	ENSMUSG00000039345.16	Mettl22	0.201384237	6.301997099	0.000000016294	0.0000151101
ENSMUST00000041003.7	Tfb1m-201	ENSMUSG00000036983.7	Tfb1m	-0.286190705	-6.289667251	0.000000017175	0.0000151101
ENSMUST00000030456.13	Nasp-201	ENSMUSG00000028693.15	Nasp	-0.388038987	-6.265153673	0.000000019069	0.0000164590
ENSMUST00000197699.4	Celf3-206	ENSMUSG00000028137.9	Celf3	-0.548894545	-6.258406337	0.000000019625	0.0000166939
ENSMUST00000000828.12	Txnrd3-201	ENSMUSG00000000811.13	Txnrd3	0.217902080	6.245118267	0.000000020769	0.0000167509
ENSMUST00000032480.13	Ing4-201	ENSMUSG00000030330.15	Ing4	-0.188381931	-6.245579089	0.000000020728	0.0000167509
ENSMUST00000080553.8	Deaf1-201	ENSMUSG00000058886.9	Deaf1	0.233926592	6.244382089	0.000000020834	0.0000167509
ENSMUST00000043604.5	Gna11-201	ENSMUSG00000034781.5	Gna11	0.121086098	6.244441821	0.000000020829	0.0000167509
ENSMUST00000002818.8	Ykt6-201	ENSMUSG00000002741.9	Ykt6	0.086383632	6.215857047	0.000000023524	0.0000186582
ENSMUST00000185693.6	Snhg14-202	ENSMUSG00000100826.6	Snhg14	-0.430081592	-6.211297608	0.000000023985	0.0000187700
ENSMUST00000138243.1	Map3k10-204	ENSMUSG00000040390.13	Map3k10	0.275084148	6.184145092	0.000000026919	0.0000205419
ENSMUST00000008999.11	Hdac5-201	ENSMUSG00000008855.17	Hdac5	0.447394805	6.183886169	0.000000026949	0.0000205419
ENSMUST00000051937.8	Rasl11b-201	ENSMUSG00000049907.8	Rasl11b	0.228637889	6.167745754	0.000000028861	0.0000217171
ENSMUST00000024270.13	Cdca3-201	ENSMUSG00000023505.13	Cdca3	-0.279742201	-6.157540779	0.000000030138	0.0000221113
ENSMUST00000021018.10	Taf15-201	ENSMUSG00000020680.15	Taf15	-0.190468285	-6.158767329	0.000000029982	0.0000221113
ENSMUST00000030189.13	Gba2-201	ENSMUSG00000028467.15	Gba2	-0.148013528	-6.149982007	0.000000031120	0.0000224771
ENSMUST00000045026.3	Spag5-201	ENSMUSG00000002055.9	Spag5	-0.220778021	-6.147851414	0.000000031403	0.0000224771
ENSMUST00000025595.4	Fam111a-201	ENSMUSG00000024691.13	Fam111a	-0.320304580	-6.143388003	0.000000032003	0.0000226306
ENSMUST00000040717.6	Kif15-201	ENSMUSG00000036768.6	Kif15	-0.280947141	-6.135686200	0.000000033065	0.0000228314
ENSMUST00000080411.12	Morf4l2-202	ENSMUSG00000031422.16	Morf4l2	-0.263276640	-6.137120665	0.000000032864	0.0000228314
ENSMUST00000183032.7	Rbm6-207	ENSMUSG00000032582.14	Rbm6	-0.170755021	-6.121981115	0.000000035041	0.0000239150
ENSMUST00000085280.11	Syne2-202	ENSMUSG00000063450.14	Syne2	-0.404500710	-6.095626440	0.000000039177	0.0000264298
ENSMUST00000029270.9	Ccna2-201	ENSMUSG00000027715.9	Ccna2	-0.244652084	-6.085371069	0.000000040913	0.0000269809
ENSMUST00000024736.13	Sgo1-201	ENSMUSG00000023940.14	Sgo1	-0.255233931	-6.086620530	0.000000040697	0.0000269809
ENSMUST00000036884.2	Klf9-201	ENSMUSG00000033863.2	Klf9	0.251730165	6.067566025	0.000000044110	0.0000287660
ENSMUST00000176274.1	Cyhr1-203	ENSMUSG00000053929.17	Cyhr1	0.254257880	6.046940932	0.000000048122	0.0000310380
ENSMUST00000221797.1	Timm9-208	ENSMUSG00000021079.16	Timm9	0.369725686	6.041617115	0.000000049216	0.0000313979
ENSMUST00000174846.7	Gigyf2-222	ENSMUSG00000048000.15	Gigyf2	-0.436466031	-6.032411732	0.000000051164	0.0000322897
ENSMUST00000062893.11	Cenpe-201	ENSMUSG00000045328.11	Cenpe	-0.246917521	-6.029013197	0.000000051902	0.0000324072
ENSMUST00000063401.9	Ikbkb-202	ENSMUSG00000031537.15	Ikbkb	-0.273918823	-6.021001617	0.000000053684	0.0000330181
ENSMUST00000080713.4	Utp14a-201	ENSMUSG00000063785.12	Utp14a	-0.176966040	-6.019586287	0.000000054005	0.0000330181
ENSMUST00000028858.7	Bub1-201	ENSMUSG00000027379.13	Bub1	-0.234235676	-6.015838036	0.000000054865	0.0000331978
ENSMUST00000033157.9	Ndufab1-201	ENSMUSG00000030869.11	Ndufab1	-0.292981715	-6.004041998	0.000000057659	0.0000345324
ENSMUST00000177220.7	Six3os1-212	ENSMUSG00000093460.9	Six3os1	-0.358176165	-5.983395953	0.000000062892	0.0000372858
ENSMUST00000041725.13	Mgat4b-201	ENSMUSG00000036620.14	Mgat4b	0.134811972	5.980731248	0.000000063600	0.0000373289
ENSMUST00000127559.1	Slc2a4rg-ps-201	ENSMUSG00000085028.2	Slc2a4rg-ps	-0.401072907	-5.960729408	0.000000069177	0.0000384142
ENSMUST00000065896.8	Kif2c-201	ENSMUSG00000028678.13	Kif2c	-0.241937190	-5.971534600	0.000000066107	0.0000384142
ENSMUST00000110878.1	Get4-202	ENSMUSG00000025858.12	Get4	0.237699937	5.966518943	0.000000067515	0.0000384142
ENSMUST00000020630.7	Hspa4-201	ENSMUSG00000020361.13	Hspa4	-0.165173958	-5.968390078	0.000000066986	0.0000384142
ENSMUST00000131181.1	Amz2-205	ENSMUSG00000020610.17	Amz2	0.293640615	5.960044073	0.000000069376	0.0000384142
ENSMUST00000022875.6	Ank-201	ENSMUSG00000022265.7	Ank	0.188579033	5.961676087	0.000000068902	0.0000384142
ENSMUST00000182046.1	Gm5914-201	ENSMUSG00000098120.1	Gm5914	0.506823285	5.946781001	0.000000073349	0.0000402343
ENSMUST00000030266.11	B4galt2-201	ENSMUSG00000028541.14	B4galt2	0.154222706	5.941948141	0.000000074852	0.0000403280
ENSMUST00000005616.15	Pkn1-201	ENSMUSG00000057672.16	Pkn1	-0.149110989	-5.940545950	0.000000075293	0.0000403280
ENSMUST00000002395.7	Rec8-201	ENSMUSG00000002324.8	Rec8	-0.346970258	-5.939636142	0.000000075581	0.0000403280
ENSMUST00000229877.1	Ddx17-203	ENSMUSG00000055065.7	Ddx17	-0.250647106	-5.931536725	0.000000078193	0.0000413456
ENSMUST00000026922.14	Homer2-201	ENSMUSG00000025813.14	Homer2	0.238750931	5.928105439	0.000000079326	0.0000415703
ENSMUST00000207555.1	Irf3-207	ENSMUSG00000003184.15	Irf3	-0.403407861	-5.922433668	0.000000081234	0.0000421937
ENSMUST00000176886.1	Tsc22d1-213	ENSMUSG00000022010.19	Tsc22d1	-0.306706972	-5.907714188	0.000000086401	0.0000444838
ENSMUST00000017534.14	Aldoc-201	ENSMUSG00000017390.15	Aldoc	0.219587808	5.896549411	0.000000090536	0.0000460737
ENSMUST00000033383.2	Usp11-201	ENSMUSG00000031066.10	Usp11	-0.151869522	-5.895170433	0.000000091059	0.0000460737
ENSMUST00000209600.1	Deaf1-203	ENSMUSG00000058886.9	Deaf1	0.375421754	5.891646629	0.000000092412	0.0000463585
ENSMUST00000154032.1	Spryd3-203	ENSMUSG00000036966.15	Spryd3	0.136018381	5.882458743	0.000000096033	0.0000474783
ENSMUST00000025253.11	Prrc2a-201	ENSMUSG00000024393.14	Prrc2a	-0.193147290	-5.881887942	0.000000096262	0.0000474783
ENSMUST00000159216.8	Selenop-203	ENSMUSG00000064373.12	Selenop	0.319215324	5.863970750	0.000000103747	0.0000507436
ENSMUST00000110985.1	Tsc22d4-205	ENSMUSG00000029723.16	Tsc22d4	0.299552258	5.855711915	0.000000107388	0.0000520903
ENSMUST00000108661.7	Chd3-202	ENSMUSG00000018474.18	Chd3	-0.189243360	-5.849389378	0.000000110260	0.0000530450
ENSMUST00000092219.13	Tmpo-203	ENSMUSG00000019961.17	Tmpo	-0.278690132	-5.842540311	0.000000113457	0.0000541392
ENSMUST00000027521.14	Agap1-201	ENSMUSG00000055013.16	Agap1	-0.293357449	-5.839021446	0.000000115135	0.0000544071
ENSMUST00000203124.1	Gm2011-201	ENSMUSG00000107741.2	Gm2011	0.193689854	5.837490315	0.000000115872	0.0000544071
ENSMUST00000111887.9	Ivns1abp-203	ENSMUSG00000023150.14	Ivns1abp	0.367113141	5.831019866	0.000000119041	0.0000545851
ENSMUST00000030464.13	Pik3r3-201	ENSMUSG00000028698.13	Pik3r3	-0.172246043	-5.831754533	0.000000118677	0.0000545851
ENSMUST00000036744.7	Rbm4b-201	ENSMUSG00000033760.17	Rbm4b	-0.251375453	-5.832085267	0.000000118514	0.0000545851
ENSMUST00000076941.11	Ttf2-201	ENSMUSG00000033222.16	Ttf2	-0.204687326	-5.827897551	0.000000120601	0.0000548715
ENSMUST00000065536.8	Fam161b-202	ENSMUSG00000021234.9	Fam161b	-0.335454219	-5.801547854	0.000000134591	0.0000607657
ENSMUST00000132778.7	AU022252-202	ENSMUSG00000078584.9	AU022252	0.208720891	5.794312838	0.000000138704	0.0000617442
ENSMUST00000228748.1	Hnrnpc-211	ENSMUSG00000060373.15	Hnrnpc	-0.495270570	-5.794039736	0.000000138862	0.0000617442
ENSMUST00000109950.4	Sin3b-202	ENSMUSG00000031622.16	Sin3b	0.212358812	5.785619983	0.000000143811	0.0000634639
ENSMUST00000053364.11	Aspm-201	ENSMUSG00000033952.14	Aspm	-0.243305083	-5.781597247	0.000000146236	0.0000637279
ENSMUST00000164395.8	Ip6k1-202	ENSMUSG00000032594.11	Ip6k1	0.509625172	5.779903300	0.000000147270	0.0000637279
ENSMUST00000231504.1	Magef1-201	ENSMUSG00000116632.1	Magef1	0.156947537	5.779256174	0.000000147666	0.0000637279
ENSMUST00000102597.4	Hdac1-201	ENSMUSG00000028800.15	Hdac1	-0.199455501	-5.775411717	0.000000150045	0.0000640460
ENSMUST00000098789.4	Zc3h4-201	ENSMUSG00000059273.9	Zc3h4	-0.199865622	-5.774545075	0.000000150586	0.0000640460
ENSMUST00000034205.4	Cenpn-201	ENSMUSG00000031756.5	Cenpn	-0.246292108	-5.771249506	0.000000152662	0.0000644619
ENSMUST00000026927.9	Nudt5-201	ENSMUSG00000025817.12	Nudt5	-0.219765227	-5.764890347	0.000000156748	0.0000657145
ENSMUST00000169418.7	Morf4l2-215	ENSMUSG00000031422.16	Morf4l2	0.162297853	5.755506244	0.000000162976	0.0000678406
ENSMUST00000087629.9	Htra3-201	ENSMUSG00000029096.15	Htra3	-0.305151394	-5.746637945	0.000000169084	0.0000698879
ENSMUST00000086555.10	Dhx57-202	ENSMUSG00000035051.15	Dhx57	-0.223703881	-5.739287475	0.000000174318	0.0000715473
ENSMUST00000146157.7	BC024139-204	ENSMUSG00000044361.16	BC024139	-0.500342580	-5.734446255	0.000000177852	0.0000724909
ENSMUST00000037248.9	Hirip3-201	ENSMUSG00000042606.9	Hirip3	-0.192294001	-5.727731034	0.000000182871	0.0000740225
ENSMUST00000134858.7	Armc9-206	ENSMUSG00000062590.13	Armc9	0.347605110	5.723035663	0.000000186463	0.0000744496
ENSMUST00000043269.13	Hnrnpk-201	ENSMUSG00000021546.18	Hnrnpk	-0.137715444	-5.723894257	0.000000185801	0.0000744496
ENSMUST00000108539.7	Rps5-202	ENSMUSG00000012848.15	Rps5	0.411310098	5.718965836	0.000000189633	0.0000752036
ENSMUST00000028771.7	Nusap1-201	ENSMUSG00000027306.15	Nusap1	-0.267176734	-5.712892567	0.000000194462	0.0000766010
ENSMUST00000182665.7	Ank3-225	ENSMUSG00000069601.14	Ank3	-0.288622315	-5.709942699	0.000000196851	0.0000770251
ENSMUST00000198863.1	Gm42460-201	ENSMUSG00000106430.1	Gm42460	0.245408975	5.707003316	0.000000199260	0.0000774515
ENSMUST00000161769.7	Hnrnpu-206	ENSMUSG00000039630.10	Hnrnpu	-0.172668571	-5.681662358	0.000000221271	0.0000825180
ENSMUST00000031291.8	Asphd2-201	ENSMUSG00000029348.11	Asphd2	0.139185201	5.679190537	0.000000223542	0.0000825180
ENSMUST00000090002.9	Hnrnpa2b1-202	ENSMUSG00000004980.16	Hnrnpa2b1	-0.412626284	-5.686124427	0.000000217229	0.0000825180
ENSMUST00000032283.11	Ccdc77-201	ENSMUSG00000030177.14	Ccdc77	-0.243598604	-5.681851103	0.000000221099	0.0000825180
ENSMUST00000070713.7	Ints10-202	ENSMUSG00000031864.16	Ints10	-0.247420362	-5.688582901	0.000000215033	0.0000825180
ENSMUST00000183023.7	Ank3-236	ENSMUSG00000069601.14	Ank3	-0.291141518	-5.680099622	0.000000222704	0.0000825180
ENSMUST00000073251.7	Ccdc177-201	ENSMUSG00000062961.7	Ccdc177	-0.185292012	-5.684467225	0.000000218722	0.0000825180
ENSMUST00000223640.2	Fst-202	ENSMUSG00000021765.9	Fst	0.311924407	5.681256438	0.000000221643	0.0000825180
ENSMUST00000089378.4	Pdxp-201	ENSMUSG00000116165.1	Pdxp	0.144460372	5.662168809	0.000000239817	0.0000879723
ENSMUST00000099484.8	Zfp932-201	ENSMUSG00000066613.14	Zfp932	0.909090790	5.654240466	0.000000247790	0.0000903326
ENSMUST00000011055.6	Apip-201	ENSMUSG00000010911.12	Apip	-0.300967301	-5.644920225	0.000000257497	0.0000914628
ENSMUST00000068225.14	Nusap1-202	ENSMUSG00000027306.15	Nusap1	-0.259654012	-5.643806372	0.000000258682	0.0000914628
ENSMUST00000185815.1	Snhg14-203	ENSMUSG00000100826.6	Snhg14	-0.446431459	-5.645669331	0.000000256703	0.0000914628
ENSMUST00000004051.7	Hlf-201	ENSMUSG00000003949.16	Hlf	0.259452702	5.645512111	0.000000256870	0.0000914628
ENSMUST00000113827.3	Brwd1-203	ENSMUSG00000022914.17	Brwd1	-0.148569723	-5.645795941	0.000000256570	0.0000914628
ENSMUST00000184986.1	Tac1-203	ENSMUSG00000061762.12	Tac1	-0.334444279	-5.636652017	0.000000266421	0.0000930852
ENSMUST00000118535.7	Rab4a-202	ENSMUSG00000019478.16	Rab4a	0.103492285	5.636632707	0.000000266443	0.0000930852
ENSMUST00000046389.4	Rbm45-201	ENSMUSG00000042369.8	Rbm45	-0.148061032	-5.634608556	0.000000268673	0.0000930966
ENSMUST00000036004.15	Hnrnpa1-201	ENSMUSG00000046434.16	Hnrnpa1	-0.397997328	-5.633729914	0.000000269648	0.0000930966
ENSMUST00000020579.8	Hmmr-201	ENSMUSG00000020330.16	Hmmr	-0.232335165	-5.623638141	0.000000281088	0.0000964789
ENSMUST00000115011.7	Lman2l-202	ENSMUSG00000001143.13	Lman2l	-0.295029122	-5.608948282	0.000000298599	0.0000997413
ENSMUST00000028000.12	Nuf2-201	ENSMUSG00000026683.14	Nuf2	-0.215773246	-5.607034743	0.000000300958	0.0000997413
ENSMUST00000036473.15	Pomt1-201	ENSMUSG00000039254.16	Pomt1	-0.307918330	-5.602311449	0.000000306858	0.0000997413
ENSMUST00000151204.1	Dusp19-205	ENSMUSG00000027001.10	Dusp19	-0.252968334	-5.602636603	0.000000306449	0.0000997413
ENSMUST00000071812.10	Iqgap3-201	ENSMUSG00000028068.14	Iqgap3	-0.214521259	-5.603011305	0.000000305977	0.0000997413
ENSMUST00000178526.1	Sh3gl3-204	ENSMUSG00000030638.13	Sh3gl3	0.662695086	5.604791886	0.000000303746	0.0000997413
ENSMUST00000055506.8	Gtf3c1-201	ENSMUSG00000032777.9	Gtf3c1	-0.166219859	-5.611285756	0.000000295743	0.0000997413
ENSMUST00000042251.10	Rmnd1-201	ENSMUSG00000019763.11	Rmnd1	-0.236414848	-5.606380292	0.000000301769	0.0000997413
ENSMUST00000109103.3	Hnrnpab-203	ENSMUSG00000020358.17	Hnrnpab	-0.139729871	-5.601613063	0.000000307741	0.0000997413
ENSMUST00000064941.6	Nr1d1-201	ENSMUSG00000020889.11	Nr1d1	0.237800866	5.604417211	0.000000304214	0.0000997413
ENSMUST00000002925.5	Timmdc1-201	ENSMUSG00000002846.9	Timmdc1	-0.219391207	-5.599812400	0.000000310026	0.0000997413
ENSMUST00000113790.7	Pja1-202	ENSMUSG00000034403.16	Pja1	-0.222299800	-5.599061035	0.000000310985	0.0000997413
ENSMUST00000156642.7	Hnrnph1-218	ENSMUSG00000007850.16	Hnrnph1	-0.328653280	-5.595411026	0.000000315684	0.0001006981
ENSMUST00000147463.1	AA387200-201	ENSMUSG00000085946.1	AA387200	-0.409596428	-5.592214309	0.000000319857	0.0001014777
ENSMUST00000223368.1	Btbd6-208	ENSMUSG00000002803.14	Btbd6	0.283707060	5.586529308	0.000000327413	0.0001033163
ENSMUST00000102911.9	Slc44a1-201	ENSMUSG00000028412.17	Slc44a1	0.288751872	5.577345379	0.000000339991	0.0001051431
ENSMUST00000062572.2	Fzd9-201	ENSMUSG00000049551.2	Fzd9	0.212114146	5.575755844	0.000000342215	0.0001051431
ENSMUST00000090568.6	Ptprz1-201	ENSMUSG00000068748.7	Ptprz1	-0.290635711	-5.573256928	0.000000345742	0.0001051431
ENSMUST00000052266.14	Exoc4-201	ENSMUSG00000029763.17	Exoc4	-0.206701067	-5.575324796	0.000000342821	0.0001051431
ENSMUST00000169283.7	U2af1l4-229	ENSMUSG00000078765.11	U2af1l4	0.512868098	5.580733387	0.000000335296	0.0001051431
ENSMUST00000182863.1	Gm5914-202	ENSMUSG00000098120.1	Gm5914	0.339863232	5.574751993	0.000000343628	0.0001051431
ENSMUST00000217187.1	Fat3-204	ENSMUSG00000074505.6	Fat3	-0.238749889	-5.574059016	0.000000344606	0.0001051431
ENSMUST00000052629.12	Igsf9-201	ENSMUSG00000037995.15	Igsf9	-0.229996411	-5.566202960	0.000000355890	0.0001076715
ENSMUST00000034391.3	Cog8-201	ENSMUSG00000031916.17	Cog8	-0.159076565	-5.556900071	0.000000369723	0.0001112830
ENSMUST00000141662.7	Atat1-212	ENSMUSG00000024426.17	Atat1	-0.248298837	-5.554645260	0.000000373155	0.0001117428
ENSMUST00000051867.6	Lsm6-201	ENSMUSG00000031683.16	Lsm6	0.152338844	5.550664864	0.000000379290	0.0001130033
ENSMUST00000216816.1	Sltm-206	ENSMUSG00000032212.10	Sltm	-0.311945818	-5.546373131	0.000000386015	0.0001144262
ENSMUST00000003964.16	Gys1-201	ENSMUSG00000003865.16	Gys1	-0.241582804	-5.540153380	0.000000395971	0.0001167874
ENSMUST00000130189.1	A230056P14Rik-201	ENSMUSG00000087178.7	A230056P14Rik	-0.328229798	-5.535884986	0.000000402948	0.0001182512
ENSMUST00000029546.14	Jtb-201	ENSMUSG00000027937.15	Jtb	0.114392903	5.534146349	0.000000405825	0.0001185029
ENSMUST00000031426.13	Ift81-201	ENSMUSG00000029469.14	Ift81	-0.193849482	-5.528395384	0.000000415485	0.0001207231
ENSMUST00000031810.14	Cep41-201	ENSMUSG00000029790.16	Cep41	-0.306386062	-5.522919132	0.000000424894	0.0001228487
