exon_gencodeID	chr	start	end	strand	gencodeID	gene_Symbol	logFC	t	P.Value	adj.P.Val
ENSMUSE00001310045.1	chr13	80,889,089	80,889,236	+	ENSMUSG00000074794.10	Arrdc3	0.622070310	6.480389819	0.0000000961	0.000509604
ENSMUSE00001437412.1	chr15	100,546,066	100,548,335	-	ENSMUSG00000009733.9	Tfcp2	0.933479583	6.480167456	0.0000000962	0.000509604
ENSMUSE00001271425.1	chr4	127,025,855	127,026,051	+	ENSMUSG00000028820.13	Sfpq	0.373347850	6.460062338	0.0000001027	0.000525696
ENSMUSE00001346396.1	chr3	152,224,728	152,226,208	+	ENSMUSG00000028034.15	Fubp1	0.290661190	6.448046437	0.0000001067	0.000534112
ENSMUSE00001281766.1	chr4	21,871,438	21,871,608	+	ENSMUSG00000028248.15	Pnisr	0.342445749	6.443379816	0.0000001084	0.000534112
ENSMUSE00001257809.1	chr4	127,026,769	127,026,886	+	ENSMUSG00000028820.13	Sfpq	0.376971141	6.435131778	0.0000001113	0.000539463
ENSMUSE00000743814.1	chr7	128,444,289	128,444,697	-	ENSMUSG00000030846.15	Tial1	0.274473695	6.386145726	0.0000001305	0.000602350
ENSMUSE00000177592.1	chr4	21,870,352	21,870,405	+	ENSMUSG00000028248.15	Pnisr	0.438043817	6.379318579	0.0000001334	0.000606232
ENSMUSE00000563275.4	chr7	27,748,168	27,750,461	+	ENSMUSG00000037640.15	Zfp60	-0.278383434	-6.362220270	0.0000001410	0.000630992
ENSMUSE00000773263.1	chr4	127,023,527	127,023,568	+	ENSMUSG00000028820.13	Sfpq	0.394628932	6.334875809	0.0000001541	0.000678875
ENSMUSE00000211491.3	chr8	86,846,815	86,846,922	-	ENSMUSG00000031652.11	N4bp1	-0.468417368	-6.330374588	0.0000001564	0.000678875
ENSMUSE00001279977.1	chr13	80,887,406	80,887,487	+	ENSMUSG00000074794.10	Arrdc3	0.645855120	6.291527819	0.0000001775	0.000747881
ENSMUSE00000232966.1	chr4	127,023,267	127,023,568	+	ENSMUSG00000028820.13	Sfpq	0.365993664	6.265754795	0.0000001930	0.000801601
ENSMUSE00000708876.1	chr2	130,803,501	130,803,982	-	ENSMUSG00000089662.1	Gm14057	0.490176330	6.240312700	0.0000002096	0.000858440
ENSMUSE00001243625.1	chr9	59,734,259	59,737,868	-	ENSMUSG00000051705.13	Senp8	-0.510244504	-6.224264081	0.0000002208	0.000879631
ENSMUSE00000844242.1	chr4	21,847,583	21,848,139	+	ENSMUSG00000028248.15	Pnisr	0.458256838	6.188084770	0.0000002484	0.000898425
ENSMUSE00001317448.1	chr4	21,848,048	21,848,139	+	ENSMUSG00000028248.15	Pnisr	0.455251934	6.162056115	0.0000002703	0.000898425
ENSMUSE00000633265.2	chr4	21,848,055	21,848,139	+	ENSMUSG00000028248.15	Pnisr	0.455251934	6.162056115	0.0000002703	0.000898425
ENSMUSE00000676010.1	chr4	21,848,058	21,848,139	+	ENSMUSG00000028248.15	Pnisr	0.455251934	6.162056115	0.0000002703	0.000898425
ENSMUSE00000745428.1	chr4	21,848,064	21,848,139	+	ENSMUSG00000028248.15	Pnisr	0.455251934	6.162056115	0.0000002703	0.000898425
ENSMUSE00000761671.1	chr4	21,848,073	21,848,139	+	ENSMUSG00000028248.15	Pnisr	0.454810098	6.159299342	0.0000002727	0.000898425
ENSMUSE00000758692.1	chr4	21,874,204	21,874,230	+	ENSMUSG00000028248.15	Pnisr	0.453402258	6.191451857	0.0000002457	0.000898425
ENSMUSE00001309076.1	chr4	127,023,674	127,023,769	+	ENSMUSG00000028820.13	Sfpq	0.381030997	6.203939798	0.0000002359	0.000898425
ENSMUSE00000821496.1	chr4	127,023,650	127,023,769	+	ENSMUSG00000028820.13	Sfpq	0.380913603	6.204125621	0.0000002358	0.000898425
ENSMUSE00000676346.1	chr7	27,748,168	27,753,702	+	ENSMUSG00000037640.15	Zfp60	-0.251977157	-6.161176470	0.0000002711	0.000898425
ENSMUSE00001237571.2	chr9	59,734,453	59,737,868	-	ENSMUSG00000051705.13	Senp8	-0.503436322	-6.156800654	0.0000002750	0.000898425
ENSMUSE00001434327.1	chr15	96,449,740	96,452,139	-	ENSMUSG00000033228.8	Scaf11	1.029816090	6.181985324	0.0000002533	0.000898425
ENSMUSE00000755070.1	chr19	3,884,472	3,884,538	+	ENSMUSG00000024843.15	Chka	0.368703960	6.165811016	0.0000002670	0.000898425
ENSMUSE00000765429.1	chr4	21,848,081	21,848,139	+	ENSMUSG00000028248.15	Pnisr	0.454275411	6.148342962	0.0000002826	0.000913212
ENSMUSE00000842040.1	chr4	127,023,383	127,023,568	+	ENSMUSG00000028820.13	Sfpq	0.366980493	6.122823824	0.0000003071	0.000981311
ENSMUSE00000866278.1	chr1	6,250,931	6,251,258	+	ENSMUSG00000025907.14	Rb1cc1	0.902870274	6.097410615	0.0000003335	0.001010670
ENSMUSE00001226782.1	chr6	86,418,878	86,418,932	+	ENSMUSG00000071337.11	Tia1	0.305471134	6.102080537	0.0000003285	0.001010670
ENSMUSE00001226768.1	chr19	3,885,860	3,885,993	+	ENSMUSG00000024843.15	Chka	0.330788607	6.094946166	0.0000003362	0.001010670
ENSMUSE00000786557.1	chr17	6,121,828	6,124,835	+	ENSMUSG00000034377.10	Tulp4	0.304742637	6.084591763	0.0000003477	0.001031834
ENSMUSE00000900368.1	chr7	27,748,168	27,750,023	+	ENSMUSG00000037640.15	Zfp60	-0.281837997	-6.067878182	0.0000003671	0.001067729
ENSMUSE00000432876.5	chr4	21,874,913	21,876,475	+	ENSMUSG00000028248.15	Pnisr	0.342098185	6.053776880	0.0000003844	0.001106698
ENSMUSE00000845004.1	chr11	101,021,137	101,021,182	+	ENSMUSG00000019302.16	Atp6v0a1	0.283066636	6.043620560	0.0000003973	0.001132641
ENSMUSE00001065503.2	chr12	111,866,015	111,866,337	-	ENSMUSG00000021285.15	Ppp1r13b	1.569897764	6.028181238	0.0000004177	0.001168049
ENSMUSE00000653683.4	chr12	81,472,093	81,472,351	-	ENSMUSG00000091803.7	Cox16	0.426325814	6.023334765	0.0000004244	0.001175301
ENSMUSE00000716155.1	chr5	5,781,615	5,783,555	-	ENSMUSG00000100801.1	Gm15459	0.285536860	6.007337618	0.0000004470	0.001214909
ENSMUSE00001278501.1	chr19	3,884,472	3,884,585	+	ENSMUSG00000024843.15	Chka	0.319863384	5.969360523	0.0000005058	0.001349354
ENSMUSE00000298192.8	chr18	78,750,380	78,755,825	-	ENSMUSG00000024548.11	Setbp1	0.263104971	5.960494339	0.0000005206	0.001363791
ENSMUSE00000726502.1	chr6	86,418,878	86,419,175	+	ENSMUSG00000071337.11	Tia1	0.266864949	5.935913436	0.0000005639	0.001464058
ENSMUSE00000277522.4	chr12	81,470,704	81,472,351	-	ENSMUSG00000091803.7	Cox16	0.383991347	5.920459736	0.0000005929	0.001486401
ENSMUSE00001367074.1	chr6	86,415,791	86,418,450	+	ENSMUSG00000071337.11	Tia1	0.316992217	5.897432803	0.0000006390	0.001556068
ENSMUSE00000265575.3	chr7	99,016,569	99,016,674	-	ENSMUSG00000035354.9	Uvrag	0.381362974	5.899690103	0.0000006343	0.001556068
ENSMUSE00001248073.1	chr7	128,444,613	128,444,697	-	ENSMUSG00000030846.15	Tial1	0.260290587	5.891059227	0.0000006524	0.001556068
ENSMUSE00000670910.3	chr11	109,380,215	109,380,475	+	ENSMUSG00000020611.14	Gna13	0.542819708	5.902230835	0.0000006291	0.001556068
ENSMUSE00001426130.1	chr13	60,641,790	60,642,009	+	ENSMUSG00000114277.1	Gm48583	0.309435868	5.890853358	0.0000006528	0.001556068
ENSMUSE00001239061.1	chr17	26,783,445	26,783,537	+	ENSMUSG00000024191.15	Bnip1	-0.280229410	-5.883824171	0.0000006679	0.001579085
ENSMUSE00000881320.1	chr12	81,470,603	81,472,351	-	ENSMUSG00000021139.17	Gm20498	0.380116897	5.871753439	0.0000006946	0.001594802
ENSMUSE00000697510.2	chr1	69,923,662	69,926,242	+	ENSMUSG00000053153.14	Spag16	-0.633238246	-5.864619715	0.0000007109	0.001608058
ENSMUSE00000682491.1	chr13	51,685,529	51,686,246	-	ENSMUSG00000021451.16	Sema4d	-0.373534425	-5.861199113	0.0000007189	0.001608058
ENSMUSE00000796012.1	chr7	12,889,996	12,893,422	+	ENSMUSG00000060397.6	Zfp128	-0.285253499	-5.851667761	0.0000007415	0.001633515
ENSMUSE00001246909.1	chr7	128,444,281	128,444,404	-	ENSMUSG00000030846.15	Tial1	0.279123619	5.844533760	0.0000007589	0.001635905
ENSMUSE00000515058.1	chr15	38,296,615	38,297,527	-	ENSMUSG00000037465.10	Klf10	0.482707921	5.844302367	0.0000007594	0.001635905
ENSMUSE00000767007.1	chr19	3,875,735	3,878,614	+	ENSMUSG00000024843.15	Chka	0.383516475	5.844675429	0.0000007585	0.001635905
ENSMUSE00000898953.1	chr15	38,294,413	38,296,164	-	ENSMUSG00000037465.10	Klf10	0.545446775	5.834368395	0.0000007844	0.001664908
ENSMUSE00001436490.1	chr15	38,294,416	38,296,164	-	ENSMUSG00000037465.10	Klf10	0.545446775	5.834368395	0.0000007844	0.001664908
ENSMUSE00001209995.1	chr4	21,854,347	21,854,445	+	ENSMUSG00000028248.15	Pnisr	0.439145037	5.815712851	0.0000008334	0.001707026
ENSMUSE00001255646.1	chr4	21,854,245	21,854,445	+	ENSMUSG00000028248.15	Pnisr	0.438787711	5.810915449	0.0000008465	0.001707026
ENSMUSE00000822183.1	chr4	21,854,347	21,854,924	+	ENSMUSG00000028248.15	Pnisr	0.438386551	5.820020522	0.0000008218	0.001707026
ENSMUSE00000745307.1	chr4	21,854,068	21,854,445	+	ENSMUSG00000028248.15	Pnisr	0.438787711	5.810915449	0.0000008465	0.001707026
ENSMUSE00001377641.1	chr7	99,016,569	99,016,644	-	ENSMUSG00000035354.9	Uvrag	0.383368607	5.804995049	0.0000008629	0.001707026
ENSMUSE00001385854.1	chr8	11,614,963	11,615,910	-	ENSMUSG00000031508.14	Ankrd10	0.253033145	5.812019164	0.0000008434	0.001707026
ENSMUSE00000861400.1	chr10	11,187,940	11,188,150	+	ENSMUSG00000090112.8	Shprh	-0.334897639	-5.810655558	0.0000008472	0.001707026
ENSMUSE00000806854.1	chr5	74,515,163	74,516,176	-	ENSMUSG00000062110.14	Scfd2	0.885106641	5.802812399	0.0000008690	0.001707558
ENSMUSE00001408320.1	chr12	75,505,800	75,508,745	-	ENSMUSG00000112254.1	Gm47690	0.769523466	5.794695695	0.0000008923	0.001741414
ENSMUSE00001346978.1	chr3	152,223,286	152,224,866	+	ENSMUSG00000028034.15	Fubp1	0.298511767	5.775177218	0.0000009507	0.001843028
ENSMUSE00000359666.2	chr7	100,539,072	100,540,369	+	ENSMUSG00000044881.7	Coa4	-0.557094192	-5.758306272	0.0000010042	0.001871953
ENSMUSE00000461220.5	chr7	12,889,996	12,891,841	+	ENSMUSG00000060397.6	Zfp128	-0.310352576	-5.746572355	0.0000010432	0.001932274
ENSMUSE00000753631.1	chr4	87,837,419	87,841,389	-	ENSMUSG00000028496.17	Mllt3	0.281242243	5.734239946	0.0000010858	0.001973511
ENSMUSE00001298032.1	chr4	87,840,682	87,841,389	-	ENSMUSG00000028496.17	Mllt3	0.280983299	5.721916635	0.0000011302	0.002025268
ENSMUSE00001209491.1	chr8	68,813,566	68,813,718	+	ENSMUSG00000031864.16	Ints10	0.290424371	5.708670597	0.0000011798	0.002092027
ENSMUSE00000675067.1	chr7	43,572,589	43,575,461	+	ENSMUSG00000056592.14	Zfp658	-0.383788039	-5.703238956	0.0000012008	0.002116335
ENSMUSE00001308515.1	chr15	53,089,931	53,090,049	-	ENSMUSG00000061731.9	Ext1	0.266214661	5.687637366	0.0000012632	0.002155868
ENSMUSE00000997878.1	chr19	3,885,860	3,885,864	+	ENSMUSG00000024843.15	Chka	0.340031022	5.678832189	0.0000012998	0.002184864
ENSMUSE00000232972.1	chr4	127,022,816	127,023,004	+	ENSMUSG00000028820.13	Sfpq	0.374552838	5.614793124	0.0000015999	0.002488004
ENSMUSE00000716431.1	chr15	74,093,686	74,094,333	-	ENSMUSG00000082585.3	Gm15387	0.328390209	5.578160082	0.0000018017	0.002743081
ENSMUSE00001064933.1	chr11	101,029,176	101,029,258	+	ENSMUSG00000019302.16	Atp6v0a1	0.255998519	5.570080025	0.0000018495	0.002786686
ENSMUSE00000271740.3	chr11	86,058,138	86,062,045	-	ENSMUSG00000034329.16	Brip1	-0.438333567	-5.558050842	0.0000019230	0.002867745
ENSMUSE00001351640.1	chr3	152,225,871	152,226,217	+	ENSMUSG00000028034.15	Fubp1	0.286425461	5.517477291	0.0000021931	0.003172927
ENSMUSE00000872696.1	chr10	11,187,940	11,188,165	+	ENSMUSG00000090112.8	Shprh	-0.313900138	-5.519191571	0.0000021810	0.003172927
ENSMUSE00000736025.1	chr17	6,124,171	6,124,248	+	ENSMUSG00000034377.10	Tulp4	0.386488576	5.503537146	0.0000022944	0.003207720
ENSMUSE00001451542.1	chr17	29,494,590	29,494,964	+	ENSMUSG00000024014.8	Pim1	0.371475483	5.488716638	0.0000024071	0.003271018
ENSMUSE00000361767.7	chr12	24,660,183	24,662,789	+	ENSMUSG00000020653.12	Klf11	0.292911625	5.460547175	0.0000026369	0.003498021
ENSMUSE00001444073.1	chr16	58,674,136	58,675,460	+	ENSMUSG00000022742.6	Cpox	-0.310420902	-5.452868272	0.0000027032	0.003524888
ENSMUSE00001297121.1	chr2	155,557,549	155,557,629	+	ENSMUSG00000027605.18	Acss2	-0.310342997	-5.428858391	0.0000029215	0.003693804
ENSMUSE00001465444.1	chr8	31,917,537	31,918,877	-	ENSMUSG00000062991.9	Nrg1	0.406793574	5.422144476	0.0000029856	0.003703129
ENSMUSE00001465033.1	chr8	31,917,537	31,918,885	-	ENSMUSG00000062991.9	Nrg1	0.406793574	5.422144476	0.0000029856	0.003703129
ENSMUSE00001013322.1	chr8	68,814,257	68,814,365	+	ENSMUSG00000031864.16	Ints10	0.310067315	5.425197112	0.0000029563	0.003703129
ENSMUSE00001309986.1	chr19	3,864,648	3,864,759	+	ENSMUSG00000024843.15	Chka	0.340729321	5.425222451	0.0000029561	0.003703129
ENSMUSE00000816983.1	chr8	68,814,257	68,814,612	+	ENSMUSG00000031864.16	Ints10	0.310106225	5.395580327	0.0000032533	0.003969737
ENSMUSE00001312025.1	chr11	101,018,564	101,018,642	+	ENSMUSG00000019302.16	Atp6v0a1	0.264492708	5.380008393	0.0000034212	0.004030888
ENSMUSE00000237480.1	chr4	124,804,660	124,805,115	+	ENSMUSG00000028890.13	Mtf1	0.269184238	5.371998856	0.0000035109	0.004083833
ENSMUSE00001007049.1	chr8	68,810,579	68,810,732	+	ENSMUSG00000031864.16	Ints10	0.254406663	5.368522724	0.0000035505	0.004113489
ENSMUSE00001309120.1	chr19	3,886,362	3,886,466	+	ENSMUSG00000024843.15	Chka	0.329769423	5.365676391	0.0000035833	0.004135004
ENSMUSE00001274022.1	chr19	3,875,735	3,875,788	+	ENSMUSG00000024843.15	Chka	0.370303620	5.360397842	0.0000036449	0.004189472
ENSMUSE00000730809.1	chr17	6,121,828	6,122,344	+	ENSMUSG00000034377.10	Tulp4	0.337950315	5.357847351	0.0000036750	0.004207489
ENSMUSE00001346673.1	chr3	152,218,213	152,218,504	+	ENSMUSG00000028034.15	Fubp1	0.269582642	5.352747462	0.0000037361	0.004229933
ENSMUSE00001389171.1	chr8	86,846,815	86,848,554	-	ENSMUSG00000031652.11	N4bp1	-0.367169971	-5.351341507	0.0000037531	0.004230191
ENSMUSE00000534032.8	chr12	17,429,115	17,430,095	+	ENSMUSG00000061458.9	Nol10	-0.291993117	-5.348458377	0.0000037882	0.004236907
ENSMUSE00001278139.1	chr15	53,106,027	53,106,134	-	ENSMUSG00000061731.9	Ext1	0.268355372	5.342965097	0.0000038559	0.004296190
ENSMUSE00000175370.1	chr3	152,218,213	152,218,270	+	ENSMUSG00000028034.15	Fubp1	0.268867634	5.337158919	0.0000039289	0.004327724
ENSMUSE00000280424.8	chr7	43,572,589	43,574,966	+	ENSMUSG00000056592.14	Zfp658	-0.370999676	-5.335317791	0.0000039523	0.004337090
ENSMUSE00001349616.1	chr3	152,226,080	152,226,208	+	ENSMUSG00000028034.15	Fubp1	0.293653670	5.325525841	0.0000040792	0.004409771
ENSMUSE00000650785.4	chr5	114,812,793	114,813,205	-	ENSMUSG00000072694.8	1500011B03Rik	0.534972627	5.325638583	0.0000040777	0.004409771
ENSMUSE00000711102.2	chr4	124,804,660	124,805,378	+	ENSMUSG00000028890.13	Mtf1	0.263128319	5.322512420	0.0000041190	0.004419997
ENSMUSE00001278055.1	chr6	86,419,101	86,419,133	+	ENSMUSG00000071337.11	Tia1	0.279387551	5.318548601	0.0000041721	0.004427872
ENSMUSE00000705973.3	chr7	4,918,776	4,922,002	+	ENSMUSG00000074406.5	Zfp628	0.316658643	5.319340439	0.0000041614	0.004427872
ENSMUSE00001452632.1	chr17	29,494,590	29,495,445	+	ENSMUSG00000024014.8	Pim1	0.327369407	5.303905528	0.0000043739	0.004542576
ENSMUSE00000668663.1	chr3	152,226,080	152,226,217	+	ENSMUSG00000028034.15	Fubp1	0.285903130	5.299971825	0.0000044297	0.004546642
ENSMUSE00000233786.1	chr11	109,365,536	109,365,762	+	ENSMUSG00000020611.14	Gna13	0.283722804	5.296904619	0.0000044737	0.004564793
ENSMUSE00001453659.1	chr17	29,494,590	29,495,442	+	ENSMUSG00000024014.8	Pim1	0.327906348	5.277328038	0.0000047652	0.004778365
ENSMUSE00001218630.1	chr19	3,889,023	3,889,110	+	ENSMUSG00000024843.15	Chka	0.307998563	5.272188505	0.0000048448	0.004841486
ENSMUSE00000870132.1	chr12	87,441,271	87,441,343	-	ENSMUSG00000079036.10	Alkbh1	0.978608530	5.263815920	0.0000049773	0.004906454
ENSMUSE00001289008.1	chr11	101,038,690	101,038,847	+	ENSMUSG00000019302.16	Atp6v0a1	0.259632326	5.250111697	0.0000052020	0.004989475
ENSMUSE00000784697.1	chr17	6,121,828	6,123,263	+	ENSMUSG00000034377.10	Tulp4	0.306226144	5.249279968	0.0000052160	0.004989475
ENSMUSE00000741842.1	chr4	154,023,724	154,023,887	-	ENSMUSG00000078350.11	Smim1	-1.101935820	-5.244489680	0.0000052971	0.005050444
ENSMUSE00000709478.1	chr12	51,363,952	51,364,020	+	ENSMUSG00000035293.13	G2e3	1.317022522	5.228237961	0.0000055817	0.005219117
ENSMUSE00000263485.3	chr5	146,847,008	146,847,726	+	ENSMUSG00000029641.8	Rasl11a	0.422154174	5.226482478	0.0000056133	0.005231875
ENSMUSE00001277645.1	chr15	65,852,961	65,853,133	+	ENSMUSG00000015002.18	Efr3a	-0.341348623	-5.210936688	0.0000059013	0.005396546
ENSMUSE00000101094.6	chr10	115,369,472	115,372,946	-	ENSMUSG00000020137.5	Thap2	-0.358985540	-5.200097672	0.0000061108	0.005518659
ENSMUSE00000287057.8	chr8	31,917,537	31,918,568	-	ENSMUSG00000062991.9	Nrg1	0.396921701	5.183590669	0.0000064440	0.005765868
ENSMUSE00001396941.1	chr9	25,275,295	25,276,819	+	ENSMUSG00000001833.17	Septin7	0.461002997	5.178052315	0.0000065598	0.005833571
ENSMUSE00000761741.1	chr2	91,712,080	91,712,725	+	ENSMUSG00000027243.8	Harbi1	-0.334328328	-5.165488631	0.0000068301	0.006037082
ENSMUSE00001291983.1	chr2	28,678,952	28,679,118	+	ENSMUSG00000026812.16	Tsc1	-0.303861134	-5.161066839	0.0000069279	0.006074655
ENSMUSE00001329194.1	chr3	17,794,593	17,795,013	+	ENSMUSG00000100252.6	Mir124-2hg	0.321366442	5.160733867	0.0000069353	0.006074655
ENSMUSE00000350445.8	chr4	127,029,827	127,031,236	+	ENSMUSG00000028820.13	Sfpq	0.396860971	5.162300915	0.0000069005	0.006074655
