chr	start	end	width	strand	Length	gencodeID	gene_type	EntrezID	Symbol	meanExprs	MGI_Symbol	logFC	t	P.Value	adj.P.Val
chr4	45,848,664	45,887,008	38,345	+	9,567	ENSMUSG00000028327.14	protein_coding	74152	Stra6l	0.154507653	MGI:MGI:1921402	-0.465376119	-7.909424750	0.00000000001049	0.0000000190
chr6	30,723,547	30,748,462	24,916	+	3,945	ENSMUSG00000051855.15	protein_coding	17294	Mest	11.213775308	MGI:MGI:96968	-0.293910802	-7.755768447	0.00000000002111	0.0000000351
chr7	80,294,450	80,316,259	21,810	+	8,225	ENSMUSG00000038943.16	protein_coding	233406	Prc1	3.432690293	MGI:MGI:1858961	-0.260081142	-7.727462421	0.00000000002401	0.0000000369
chr2	25,054,355	25,062,881	8,527	+	4,896	ENSMUSG00000006476.19	protein_coding	56876	Nsmf	68.204107519	MGI:MGI:1861755	0.188029487	7.706273940	0.00000000002644	0.0000000377
chr1	189,640,606	189,688,086	47,481	-	15,433	ENSMUSG00000026605.14	protein_coding	108000	Cenpf	1.361975455	MGI:MGI:1313302	-0.316283635	-7.642329238	0.00000000003534	0.0000000471
chr14	115,092,215	116,525,179	1,432,965	+	4,453	ENSMUSG00000022112.14	protein_coding	103978	Gpc5	3.504136078	MGI:MGI:1194894	0.326479441	7.608108853	0.00000000004128	0.0000000515
chr9	72,662,346	72,749,852	87,507	+	12,601	ENSMUSG00000032216.15	protein_coding	17999	Nedd4	55.124686136	MGI:MGI:97297	-0.189462019	-7.581582676	0.00000000004655	0.0000000547
chr8	94,179,082	94,180,327	1,246	+	1,246	ENSMUSG00000031765.8	protein_coding	17748	Mt1	36.428564583	MGI:MGI:97171	0.377593708	7.526836977	0.00000000005965	0.0000000662
chrX	20,617,503	20,650,888	33,386	+	3,714	ENSMUSG00000031060.16	protein_coding	236732	Rbm10	11.959540726	MGI:MGI:2384310	-0.207926513	-7.483371318	0.00000000007262	0.0000000763
chr7	135,689,784	135,716,361	26,578	-	10,061	ENSMUSG00000031004.8	protein_coding	17345	Mki67	7.732440947	MGI:MGI:106035	-0.358048747	-7.456194446	0.00000000008212	0.0000000820
chr9	37,367,351	37,386,575	19,225	+	3,347	ENSMUSG00000046240.8	protein_coding	72927	Hepacam	13.454413575	MGI:MGI:1920177	0.259231984	7.330883262	0.00000000014460	0.0000001375
chr17	65,651,729	65,772,752	121,024	-	3,813	ENSMUSG00000056515.9	protein_coding	106572	Rab31	24.651526898	MGI:MGI:1914603	0.155505946	7.253783922	0.00000000020463	0.0000001858
chr15	3,268,547	3,280,508	11,962	+	2,842	ENSMUSG00000064373.12	protein_coding	20363	Selenop	47.559367539	MGI:MGI:894288	0.342273395	7.201366583	0.00000000025902	0.0000002249
chr2	129,268,210	129,297,212	29,003	-	3,137	ENSMUSG00000048327.6	protein_coding	70466	Ckap2l	3.754653436	MGI:MGI:1917716	-0.221422361	-7.187188646	0.00000000027606	0.0000002297
chr2	130,706,200	130,906,406	200,207	-	10,659	ENSMUSG00000027309.18	protein_coding	228602	Dnaaf9	10.677392495	MGI:MGI:1923029	-0.202589177	-7.143892270	0.00000000033529	0.0000002620
chr13	73,467,197	73,516,422	49,226	+	4,632	ENSMUSG00000021608.15	protein_coding	210992	Lpcat1	27.315825070	MGI:MGI:2384812	0.155229443	7.140114590	0.00000000034102	0.0000002620
chr7	141,297,180	141,327,672	30,493	-	4,389	ENSMUSG00000058886.9	protein_coding	54006	Deaf1	30.011109455	MGI:MGI:1858496	0.273513294	7.095666302	0.00000000041622	0.0000003079
chr9	65,890,237	65,903,266	13,030	+	4,813	ENSMUSG00000040204.6	protein_coding	68026	Pclaf	2.495216372	MGI:MGI:1915276	-0.337075417	-7.033355033	0.00000000055013	0.0000003924
chr15	81,802,421	81,826,863	24,443	+	7,867	ENSMUSG00000022389.15	protein_coding	21685	Tef	19.138151881	MGI:MGI:98663	0.249873645	7.021205189	0.00000000058084	0.0000004001
chr14	32,028,989	32,062,197	33,209	+	6,326	ENSMUSG00000021903.11	protein_coding	78754	Galnt15	0.517247719	MGI:MGI:1926004	0.515525178	7.008136805	0.00000000061578	0.0000004100
chr2	119,618,298	119,650,160	31,863	+	4,059	ENSMUSG00000027306.15	protein_coding	108907	Nusap1	23.686421060	MGI:MGI:2675669	-0.280463646	-6.959428225	0.00000000076540	0.0000004932
chr5	31,054,780	31,078,479	23,700	+	8,183	ENSMUSG00000013629.16	protein_coding	69719	Cad	3.782048575	MGI:MGI:1916969	-0.255506144	-6.949674787	0.00000000079944	0.0000004990
chr2	118,814,003	118,853,957	39,955	+	5,158	ENSMUSG00000027331.15	protein_coding	51944	Knstrn	1.870075022	MGI:MGI:1289298	-0.237232239	-6.940803810	0.00000000083171	0.0000005034
chr11	97,205,842	97,280,486	74,645	-	7,206	ENSMUSG00000001441.13	protein_coding	19155	Npepps	20.834715157	MGI:MGI:1101358	-0.188532786	-6.932384175	0.00000000086352	0.0000005073
chr2	148,871,722	148,875,692	3,971	-	1,266	ENSMUSG00000027447.6	protein_coding	13010	Cst3	303.044099848	MGI:MGI:102519	0.236507736	6.909387911	0.00000000095672	0.0000005357
chrX	152,016,428	152,062,694	46,267	+	5,769	ENSMUSG00000041133.11	protein_coding	24061	Smc1a	19.386174908	MGI:MGI:1344345	-0.153226962	-6.907315682	0.00000000096559	0.0000005357
chr4	129,703,164	129,742,297	39,134	-	6,419	ENSMUSG00000028790.13	protein_coding	20218	Khdrbs1	32.665692398	MGI:MGI:893579	-0.132049736	-6.884071064	0.00000000107089	0.0000005781
chr3	32,949,408	33,143,082	193,675	-	8,846	ENSMUSG00000027674.16	protein_coding	58869	Pex5l	5.514367397	MGI:MGI:1916672	0.191041538	6.859230562	0.00000000119603	0.0000006287
chr4	116,094,264	116,123,685	29,422	-	7,706	ENSMUSG00000028702.15	protein_coding	19366	Rad54l	0.502011170	MGI:MGI:894697	-0.337806564	-6.808230583	0.00000000150025	0.0000007684
chr17	66,123,520	66,152,167	28,648	+	6,627	ENSMUSG00000035842.10	protein_coding	320209	Ddx11	0.588892718	MGI:MGI:2443590	-0.343092981	-6.795981073	0.00000000158408	0.0000007910
chr16	17,646,470	17,650,738	4,269	+	2,289	ENSMUSG00000041617.10	protein_coding	72315	Ccdc74a	4.521688141	MGI:MGI:1919565	0.276227553	6.766918642	0.00000000180201	0.0000008779
chr15	27,466,677	27,594,452	127,776	+	3,610	ENSMUSG00000022265.7	protein_coding	11732	Ank	36.309891932	MGI:MGI:3045421	0.203504134	6.759577551	0.00000000186162	0.0000008853
chr2	165,351,297	165,368,729	17,433	-	3,773	ENSMUSG00000056824.15	protein_coding	381405	Zfp663	0.716840862	MGI:MGI:2685854	-0.515634206	-6.733296412	0.00000000209146	0.0000009715
chr4	44,300,876	44,364,675	63,800	+	2,972	ENSMUSG00000035683.13	protein_coding	17279	Melk	1.996174648	MGI:MGI:106924	-0.288796118	-6.723479773	0.00000000218435	0.0000009916
chr7	126,928,879	126,945,631	16,753	+	2,487	ENSMUSG00000030685.5	protein_coding	233877	Kctd13	40.259000083	MGI:MGI:1923739	0.187142734	6.692642864	0.00000000250359	0.0000011113
chr11	118,301,069	118,355,740	54,672	-	3,896	ENSMUSG00000017466.9	protein_coding	21858	Timp2	73.614089609	MGI:MGI:98753	0.173649035	6.637069475	0.00000000319997	0.0000013895
chr9	122,951,046	123,018,733	67,688	+	11,020	ENSMUSG00000036768.6	protein_coding	209737	Kif15	1.074810514	MGI:MGI:1098258	-0.326253519	-6.631915936	0.00000000327355	0.0000013912
chr11	115,420,128	115,431,274	11,147	+	3,009	ENSMUSG00000016940.18	protein_coding	70382	Kctd2	19.394681210	MGI:MGI:1917632	0.192410614	6.595378335	0.00000000384550	0.0000016002
chr16	8,470,788	8,490,684	19,897	+	5,768	ENSMUSG00000039345.16	protein_coding	239706	Mettl22	4.463165512	MGI:MGI:2384301	0.219382487	6.572715758	0.00000000424892	0.0000017320
chr2	180,099,465	180,104,174	4,710	-	3,146	ENSMUSG00000039059.11	protein_coding	99296	Hrh3	7.607110260	MGI:MGI:2139279	0.320513272	6.553155665	0.00000000463063	0.0000018498
chr19	23,141,226	23,168,134	26,909	+	4,815	ENSMUSG00000033863.2	protein_coding	16601	Klf9	15.924420443	MGI:MGI:1333856	0.270117077	6.531746675	0.00000000508744	0.0000019925
chr9	58,218,076	58,249,786	31,711	-	5,571	ENSMUSG00000036986.16	protein_coding	18854	Pml	2.006328766	MGI:MGI:104662	-0.307967185	-6.502892040	0.00000000577443	0.0000021762
chr19	12,545,740	12,589,768	44,029	+	4,125	ENSMUSG00000024691.13	protein_coding	107373	Fam111a	2.882802701	MGI:MGI:1915508	-0.354633703	-6.503263777	0.00000000576502	0.0000021762
chr14	64,950,045	65,039,832	89,788	+	6,817	ENSMUSG00000021975.9	protein_coding	210925	Ints9	2.513275219	MGI:MGI:1098533	-0.167001801	-6.454640473	0.00000000713423	0.0000026389
chr1	135,262,712	135,284,084	21,373	-	6,977	ENSMUSG00000041926.15	protein_coding	215615	Rnpep	4.376906291	MGI:MGI:2384902	-0.280887171	-6.414849177	0.00000000849054	0.0000029508
chr3	135,212,537	135,273,611	61,075	+	8,620	ENSMUSG00000045328.11	protein_coding	229841	Cenpe	1.621552562	MGI:MGI:1098230	-0.275213133	-6.412758882	0.00000000856845	0.0000029508
chr10	11,343,404	11,459,644	116,241	+	3,287	ENSMUSG00000055493.4	protein_coding	13853	Epm2a	7.469411876	MGI:MGI:1341085	0.187572533	6.420406160	0.00000000828681	0.0000029508
chr11	100,740,376	100,759,740	19,365	-	3,954	ENSMUSG00000035355.15	protein_coding	380728	Kcnh4	4.291534015	MGI:MGI:2156184	-0.366723629	-6.423892574	0.00000000816147	0.0000029508
chr2	5,845,019	5,871,895	26,877	+	6,484	ENSMUSG00000025817.12	protein_coding	53893	Nudt5	1.808844465	MGI:MGI:1858232	-0.267954141	-6.405851792	0.00000000883097	0.0000029897
chrX	20,703,906	20,720,539	16,634	+	4,732	ENSMUSG00000031066.10	protein_coding	236733	Usp11	20.635220943	MGI:MGI:2384312	-0.139400192	-6.398767762	0.00000000910848	0.0000030322
chr4	116,221,618	116,303,056	81,439	+	5,300	ENSMUSG00000028698.13	protein_coding	18710	Pik3r3	11.929250139	MGI:MGI:109277	-0.155289948	-6.378610275	0.00000000994621	0.0000032028
chr6	47,953,390	47,965,297	11,908	+	2,968	ENSMUSG00000045466.18	protein_coding	101197	Zfp956	7.682231508	MGI:MGI:2141515	0.169208033	6.377617276	0.00000000998940	0.0000032028
chr11	55,098,115	55,113,029	14,915	+	4,127	ENSMUSG00000000594.7	protein_coding	14667	Gm2a	12.531239736	MGI:MGI:95762	0.154959032	6.375049826	0.00000001010191	0.0000032028
chr4	124,918,465	124,939,311	20,847	-	5,177	ENSMUSG00000028873.16	protein_coding	52276	Cdca8	1.926551253	MGI:MGI:1196274	-0.208897374	-6.371122769	0.00000001027644	0.0000032072
chr6	89,643,988	89,675,529	31,542	+	2,836	ENSMUSG00000000811.13	protein_coding	232223	Txnrd3	7.054171098	MGI:MGI:2386711	0.229379725	6.365553810	0.00000001052906	0.0000032355
chr13	112,927,454	112,969,432	41,979	+	6,011	ENSMUSG00000042426.6	protein_coding	218629	Dhx29	5.469422028	MGI:MGI:2145374	-0.217178644	-6.360768176	0.00000001075105	0.0000032537
chr11	90,336,536	90,390,895	54,360	-	6,681	ENSMUSG00000003949.16	protein_coding	217082	Hlf	9.886118892	MGI:MGI:96108	0.304567856	6.352579889	0.00000001114167	0.0000032791
chr15	102,296,266	102,324,357	28,092	+	8,749	ENSMUSG00000058290.4	protein_coding	105988	Espl1	1.251046444	MGI:MGI:2146156	-0.268683148	-6.352133570	0.00000001116336	0.0000032791
chr19	6,241,668	6,262,335	20,668	+	7,693	ENSMUSG00000024773.15	protein_coding	329015	Atg2a	4.753830959	MGI:MGI:1916291	-0.174955081	-6.332994780	0.00000001213384	0.0000035125
chr14	55,618,037	55,625,395	7,359	+	2,935	ENSMUSG00000002324.8	protein_coding	56739	Rec8	2.475055597	MGI:MGI:1929645	-0.360344070	-6.328884329	0.00000001235291	0.0000035248
chr15	89,155,549	89,180,788	25,240	-	7,720	ENSMUSG00000036606.17	protein_coding	140570	Plxnb2	17.731055669	MGI:MGI:2154239	-0.138795137	-6.324853190	0.00000001257156	0.0000035367
chr3	146,404,642	146,439,782	35,141	+	4,200	ENSMUSG00000036825.12	protein_coding	99167	Ssx2ip	14.991613660	MGI:MGI:2139150	0.163378859	6.306512491	0.00000001361565	0.0000037772
chr1	72,583,251	72,633,134	49,884	+	5,728	ENSMUSG00000039354.16	protein_coding	54380	Smarcal1	6.921302302	MGI:MGI:1859183	-0.114139231	-6.277787245	0.00000001542570	0.0000041637
chr14	67,676,331	67,715,841	39,511	-	5,715	ENSMUSG00000048922.18	protein_coding	108912	Cdca2	0.854679620	MGI:MGI:1919787	-0.328135122	-6.279254946	0.00000001532770	0.0000041637
chr3	100,938,860	100,969,663	30,804	-	7,672	ENSMUSG00000033222.16	protein_coding	74044	Ttf2	0.582103922	MGI:MGI:1921294	-0.255215364	-6.262553247	0.00000001648017	0.0000043031
chr6	125,168,007	125,191,701	23,695	-	6,267	ENSMUSG00000038252.13	protein_coding	68298	Ncapd2	9.513632477	MGI:MGI:1915548	-0.199227087	-6.261042923	0.00000001658852	0.0000043031
chr17	35,149,076	35,164,897	15,822	-	7,631	ENSMUSG00000024393.14	protein_coding	53761	Prrc2a	61.060083341	MGI:MGI:1915467	-0.170934743	-6.265172502	0.00000001629393	0.0000043031
chr5	33,990,510	33,993,062	2,553	-	2,553	ENSMUSG00000106743.1	TEC	NA	Gm42847	1.931909509	NA	0.296462524	6.242158788	0.00000001800414	0.0000045781
chr15	99,620,496	99,651,643	31,148	-	7,079	ENSMUSG00000023015.14	protein_coding	26934	Racgap1	6.085614851	MGI:MGI:1349423	-0.169754858	-6.240846449	0.00000001810684	0.0000045781
chr1	185,429,355	185,441,819	12,465	-	3,408	ENSMUSG00000051295.8	lincRNA	319562	9630028B13Rik	0.223793573	MGI:MGI:2442281	-0.505784421	-6.231906909	0.00000001882200	0.0000046994
chr5	139,377,697	139,392,763	15,067	+	6,786	ENSMUSG00000044197.8	protein_coding	80290	Gpr146	1.599761526	MGI:MGI:1933113	0.309798348	6.228182741	0.00000001912811	0.0000047169
chr17	3,519,256	3,557,781	38,526	-	3,609	ENSMUSG00000036983.7	protein_coding	224481	Tfb1m	1.141499586	MGI:MGI:2146851	-0.281815580	-6.222179110	0.00000001963197	0.0000047821
chr9	107,773,559	107,872,829	99,271	-	13,944	ENSMUSG00000032582.14	protein_coding	19654	Rbm6	5.677102231	MGI:MGI:1338037	-0.139983771	-6.197834911	0.00000002181304	0.0000052493
chr7	125,640,954	125,707,677	66,724	-	12,018	ENSMUSG00000032777.9	protein_coding	233863	Gtf3c1	9.349094315	MGI:MGI:107887	-0.151139406	-6.183019409	0.00000002325586	0.0000055299
chr2	128,610,104	128,687,391	77,288	-	16,714	ENSMUSG00000014355.10	protein_coding	17222	Anapc1	8.008368828	MGI:MGI:103097	-0.154284671	-6.176274423	0.00000002394358	0.0000056265
chr11	53,259,814	53,300,457	40,644	-	5,528	ENSMUSG00000020361.13	protein_coding	15525	Hspa4	40.712863847	MGI:MGI:1342292	-0.147329359	-6.157841763	0.00000002592716	0.0000060217
chr5	74,195,286	74,199,481	4,196	+	2,161	ENSMUSG00000049907.8	protein_coding	68939	Rasl11b	13.752750934	MGI:MGI:1916189	0.242909792	6.133857028	0.00000002875293	0.0000063233
chr5	134,237,834	134,314,693	76,860	-	10,199	ENSMUSG00000060261.15	protein_coding	14886	Gtf2i	18.940983565	MGI:MGI:1202722	-0.228967292	-6.135834488	0.00000002850888	0.0000063233
chr12	75,818,134	76,110,900	292,767	+	26,726	ENSMUSG00000063450.14	protein_coding	319565	Syne2	2.390526633	MGI:MGI:2449316	-0.244909024	-6.133410113	0.00000002880838	0.0000063233
chr14	65,805,837	65,817,822	11,986	+	1,791	ENSMUSG00000022033.9	protein_coding	52033	Pbk	7.633359885	MGI:MGI:1289156	-0.230131637	-6.143062595	0.00000002763410	0.0000063233
chr17	53,674,786	53,689,333	14,548	-	3,810	ENSMUSG00000023940.14	protein_coding	72415	Sgo1	1.134830126	MGI:MGI:1919665	-0.308930040	-6.135499570	0.00000002855007	0.0000063233
chr10	81,528,724	81,545,190	16,467	-	4,097	ENSMUSG00000034781.5	protein_coding	14672	Gna11	34.915386912	MGI:MGI:95766	0.131995043	6.122391287	0.00000003020920	0.0000065009
chrX	6,779,306	6,948,362	169,057	+	7,158	ENSMUSG00000062393.13	protein_coding	331374	Dgkk	1.359943902	MGI:MGI:3580254	-0.442083923	-6.121934225	0.00000003026874	0.0000065009
chr3	108,455,694	108,536,536	80,843	-	6,304	ENSMUSG00000040412.17	protein_coding	229722	Elapor1	3.438131149	MGI:MGI:1923930	-0.177783340	-6.111819020	0.00000003161641	0.0000066474
chr5	48,389,502	49,524,907	1,135,406	-	3,627	ENSMUSG00000029088.16	protein_coding	80334	Kcnip4	6.869709371	MGI:MGI:1933131	0.228964350	6.113604755	0.00000003137426	0.0000066474
chr13	114,452,290	114,458,949	6,660	-	4,589	ENSMUSG00000021765.9	protein_coding	14313	Fst	1.119659918	MGI:MGI:95586	0.369931346	6.087451210	0.00000003511115	0.0000073053
chr5	50,059,096	50,061,662	2,567	+	2,567	ENSMUSG00000106430.1	TEC	NA	Gm42460	0.552146918	NA	0.357012013	6.081529064	0.00000003601653	0.0000074164
chr1	177,762,962	177,796,511	33,550	-	4,531	ENSMUSG00000015961.8	protein_coding	11566	Adss	20.786330229	MGI:MGI:87948	0.112928592	6.077464227	0.00000003665126	0.0000074296
chr11	78,301,529	78,322,457	20,929	+	5,624	ENSMUSG00000002055.9	protein_coding	54141	Spag5	3.817454058	MGI:MGI:1927470	-0.232467310	-6.076368775	0.00000003682420	0.0000074296
chr4	43,578,715	43,587,485	8,771	+	6,199	ENSMUSG00000028468.15	protein_coding	242406	Rgp1	7.418881647	MGI:MGI:1915956	0.130597077	6.056719309	0.00000004006666	0.0000080029
chr7	63,444,751	63,759,028	314,278	+	3,619	ENSMUSG00000033510.14	protein_coding	170711	Otud7a	6.379093914	MGI:MGI:2158505	0.202205054	6.038437929	0.00000004333567	0.0000084836
chr9	61,915,905	61,946,774	30,870	-	7,901	ENSMUSG00000032254.10	protein_coding	71819	Kif23	2.268930914	MGI:MGI:1919069	-0.268630892	-6.037393112	0.00000004353026	0.0000084836
chr9	65,828,930	65,908,794	79,865	-	8,394	ENSMUSG00000032386.15	protein_coding	56404	Trip4	4.464410558	MGI:MGI:1928469	-0.125099791	-6.036232085	0.00000004374750	0.0000084836
chr2	164,769,898	164,778,822	8,925	+	2,600	ENSMUSG00000001403.13	protein_coding	68612	Ube2c	20.977826589	MGI:MGI:1915862	-0.268683613	-6.033856072	0.00000004419541	0.0000084881
chr9	44,923,127	44,965,578	42,452	-	8,639	ENSMUSG00000059890.16	protein_coding	140630	Ube4a	10.029941816	MGI:MGI:2154580	-0.128272738	-6.015028433	0.00000004790844	0.0000090608
chr12	71,123,173	71,136,673	13,501	-	4,282	ENSMUSG00000021079.16	protein_coding	30056	Timm9	7.789379437	MGI:MGI:1353436	0.139055232	6.014169734	0.00000004808493	0.0000090608
chr6	38,663,067	38,680,865	17,799	+	1,499	ENSMUSG00000079598.4	protein_coding	665180	Clec2l	30.482617342	MGI:MGI:2141402	0.163486021	5.995296829	0.00000005213015	0.0000097313
chr7	100,372,233	100,469,461	97,229	+	11,994	ENSMUSG00000047248.20	protein_coding	277939	C2cd3	3.272595384	MGI:MGI:2142166	-0.264105004	-5.987443507	0.00000005391072	0.0000098150
chr11	50,210,890	50,235,103	24,214	+	2,719	ENSMUSG00000036620.14	protein_coding	103534	Mgat4b	43.324827231	MGI:MGI:2143974	0.148985145	5.986827771	0.00000005405284	0.0000098150
chr11	69,015,911	69,036,473	20,563	+	6,797	ENSMUSG00000020898.18	protein_coding	68964	Ctc1	10.790232907	MGI:MGI:1916214	-0.162915270	-5.989174988	0.00000005351306	0.0000098150
chr9	20,907,209	20,959,888	52,680	-	7,377	ENSMUSG00000004099.16	protein_coding	13433	Dnmt1	16.575290355	MGI:MGI:94912	-0.130390858	-5.976645252	0.00000005645733	0.0000101593
chr2	163,859,751	163,918,683	58,933	-	4,962	ENSMUSG00000035226.5	protein_coding	241770	Rims4	19.423384260	MGI:MGI:2674366	0.139722785	5.964932837	0.00000005935378	0.0000104914
chr11	45,928,269	45,944,935	16,667	-	6,453	ENSMUSG00000044847.13	protein_coding	72290	Lsm11	14.559161466	MGI:MGI:1919540	0.141423433	5.966239726	0.00000005902346	0.0000104914
chr19	30,030,513	30,093,722	63,210	+	8,590	ENSMUSG00000024817.13	protein_coding	109113	Uhrf2	6.336214582	MGI:MGI:1923718	-0.173438604	-5.956122021	0.00000006162882	0.0000107980
chr11	98,740,638	98,768,403	27,766	+	4,614	ENSMUSG00000058756.13	protein_coding	21833	Thra	212.193269922	MGI:MGI:98742	0.144012270	5.949898654	0.00000006328737	0.0000108974
chr18	34,624,613	34,632,835	8,223	+	4,338	ENSMUSG00000003779.16	protein_coding	19348	Kif20a	1.852640637	MGI:MGI:1201682	-0.222847850	-5.951772729	0.00000006278334	0.0000108974
chr12	80,754,043	80,760,687	6,645	-	5,775	ENSMUSG00000062961.7	protein_coding	380768	Ccdc177	4.305630756	MGI:MGI:2686414	-0.185313722	-5.941540294	0.00000006558435	0.0000111964
chr7	42,609,526	42,642,588	33,063	-	4,995	ENSMUSG00000074158.9	protein_coding	208111	Zfp976	0.715647184	MGI:MGI:3036263	-0.267285667	-5.916584167	0.00000007294307	0.0000123472
chr5	112,384,354	112,394,866	10,513	-	4,010	ENSMUSG00000029348.11	protein_coding	72898	Asphd2	24.310961486	MGI:MGI:1920148	0.161975721	5.902317662	0.00000007750948	0.0000130099
chr6	33,249,085	33,973,979	724,895	+	12,640	ENSMUSG00000029763.17	protein_coding	20336	Exoc4	7.207304528	MGI:MGI:1096376	-0.188556600	-5.886242647	0.00000008299300	0.0000137850
chr12	13,269,133	13,583,811	314,679	+	9,515	ENSMUSG00000020576.10	protein_coding	71169	Nbas	3.518139583	MGI:MGI:1918419	-0.212982470	-5.884787078	0.00000008350801	0.0000137850
chr7	82,173,840	82,307,087	133,248	+	4,319	ENSMUSG00000030638.13	protein_coding	20408	Sh3gl3	7.592887393	MGI:MGI:700011	0.128961494	5.879111638	0.00000008554635	0.0000140058
chr7	44,532,746	44,548,847	16,102	-	4,859	ENSMUSG00000038644.14	protein_coding	18971	Pold1	2.543038864	MGI:MGI:97741	-0.204555419	-5.873115705	0.00000008775307	0.0000141353
chr12	84,345,309	84,361,833	16,525	-	4,656	ENSMUSG00000021234.9	protein_coding	217705	Fam161b	2.495696498	MGI:MGI:2443027	-0.296272187	-5.875011761	0.00000008704925	0.0000141353
chr5	106,964,322	106,984,431	20,110	+	4,183	ENSMUSG00000029283.17	protein_coding	12545	Cdc7	4.653324335	MGI:MGI:1309511	-0.229717869	-5.870459813	0.00000008874838	0.0000141813
chr3	36,564,865	36,572,150	7,286	-	4,083	ENSMUSG00000027715.9	protein_coding	12428	Ccna2	7.642310992	MGI:MGI:108069	-0.235085783	-5.863164216	0.00000009154005	0.0000142845
chr4	32,804,035	32,950,826	146,792	-	5,477	ENSMUSG00000040183.13	protein_coding	140577	Ankrd6	8.480729156	MGI:MGI:2154278	-0.141977325	-5.863418305	0.00000009144139	0.0000142845
chr11	98,767,932	98,775,333	7,402	-	3,077	ENSMUSG00000020889.11	protein_coding	217166	Nr1d1	9.044065047	MGI:MGI:2444210	0.257735195	5.863916935	0.00000009124806	0.0000142845
chr11	72,042,032	72,047,370	5,339	+	2,529	ENSMUSG00000020808.3	protein_coding	109212	Pimreg	3.440300470	MGI:MGI:1924434	-0.209420269	-5.860528264	0.00000009256984	0.0000143333
chr11	82,978,390	82,991,830	13,441	-	5,965	ENSMUSG00000069793.12	protein_coding	237886	Slfn9	0.626466878	MGI:MGI:2445121	-0.368250755	-5.845311617	0.00000009874161	0.0000151713
chr7	126,861,972	126,865,377	3,406	+	3,265	ENSMUSG00000042606.9	protein_coding	233876	Hirip3	6.885947460	MGI:MGI:2142364	-0.128672980	-5.831485928	0.00000010469976	0.0000159639
chr1	139,454,772	139,494,088	39,317	+	11,590	ENSMUSG00000033952.14	protein_coding	12316	Aspm	1.279342460	MGI:MGI:1334448	-0.265434202	-5.823083946	0.00000010849218	0.0000162768
chr7	65,861,734	66,050,386	188,653	+	5,190	ENSMUSG00000030513.14	protein_coding	18553	Pcsk6	2.055139235	MGI:MGI:102897	0.217038467	5.821554714	0.00000010919685	0.0000162768
chr9	70,542,754	70,592,234	49,481	+	11,276	ENSMUSG00000032212.10	protein_coding	66660	Sltm	6.761244268	MGI:MGI:1913910	-0.209928900	-5.824272502	0.00000010794759	0.0000162768
chr6	30,653,457	30,693,749	40,293	-	4,979	ENSMUSG00000029790.16	protein_coding	83922	Cep41	2.114068854	MGI:MGI:1891414	-0.324227769	-5.811928248	0.00000011373737	0.0000165824
chr13	73,626,911	73,649,843	22,933	+	5,730	ENSMUSG00000021611.9	protein_coding	21752	Tert	0.760601721	MGI:MGI:1202709	-0.379256939	-5.815155416	0.00000011219486	0.0000165824
chr15	102,116,528	102,136,192	19,665	-	2,927	ENSMUSG00000036966.15	protein_coding	223918	Spryd3	36.963169301	MGI:MGI:2446175	0.145398064	5.812758067	0.00000011333875	0.0000165824
