chr	start	end	width	strand	Length	gencodeID	gene_type	EntrezID	Symbol	meanExprs	MGI_Symbol	logFC	t	P.Value	adj.P.Val
chr4	127,021,324	127,037,013	15,690	+	4,743	ENSMUSG00000028820.13	protein_coding	71514	Sfpq	46.761505291	MGI:MGI:1918764	0.386941544	5.851571329	0.000001226	0.001129011
chr9	59,734,259	59,750,649	16,391	-	3,965	ENSMUSG00000051705.13	protein_coding	71599	Senp8	1.129385688	MGI:MGI:1918849	-0.475357314	-5.862559421	0.000001186	0.001129011
chr12	75,505,800	75,508,745	2,946	-	2,946	ENSMUSG00000112254.1	TEC	NA	Gm47690	0.201413361	NA	0.776667716	5.847579974	0.000001241	0.001129011
chr13	60,641,790	60,642,009	220	+	220	ENSMUSG00000114277.1	processed_pseudogene	NA	Gm48583	30.451072209	NA	0.319550185	5.900881626	0.000001056	0.001129011
chr8	68,793,929	68,831,667	37,739	+	6,885	ENSMUSG00000031864.16	protein_coding	70885	Ints10	7.587375038	MGI:MGI:1918135	0.215626753	5.786425944	0.000001493	0.001296828
chr9	122,844,529	122,866,006	21,478	-	7,409	ENSMUSG00000047036.8	protein_coding	235682	Zfp445	26.436181850	MGI:MGI:2143340	0.143293122	5.682350173	0.000002047	0.001560244
chr15	38,291,463	38,300,706	9,244	-	4,179	ENSMUSG00000037465.10	protein_coding	21847	Klf10	4.126584738	MGI:MGI:1101353	0.523817887	5.698069062	0.000001952	0.001560244
chr15	74,093,686	74,094,333	648	-	648	ENSMUSG00000082585.3	processed_pseudogene	100041307	Gm15387	4.896729976	MGI:MGI:3705374	0.342724526	5.691669233	0.000001990	0.001560244
chr15	82,268,802	82,293,855	25,054	+	8,319	ENSMUSG00000022456.18	protein_coding	NA	Septin3	97.456524469	NA	0.133612236	5.672579043	0.000002109	0.001560244
chr8	86,724,007	86,745,934	21,928	-	1,968	ENSMUSG00000036840.5	protein_coding	20437	Siah1a	23.665230055	MGI:MGI:108064	0.174396043	5.647939993	0.000002273	0.001567350
chr8	104,511,028	104,534,636	23,609	-	8,201	ENSMUSG00000031878.18	protein_coding	234664	Nae1	6.497556770	MGI:MGI:2384561	0.160242317	5.647522791	0.000002276	0.001567350
chr2	156,091,958	156,111,961	20,004	-	6,689	ENSMUSG00000089824.10	protein_coding	75710	Rbm12	4.329153437	MGI:MGI:1922960	0.262853084	5.626110396	0.000002428	0.001616781
chr7	116,039,397	116,105,210	65,814	+	2,490	ENSMUSG00000030663.12	protein_coding	56372	1110004F10Rik	59.319717610	MGI:MGI:1929274	0.137525087	5.585347052	0.000002748	0.001770570
chr5	150,608,007	150,665,612	57,606	-	17,470	ENSMUSG00000029655.17	protein_coding	381695	N4bp2l2	2.723539439	MGI:MGI:2687207	0.161729499	5.562016979	0.000002949	0.001841025
chr7	100,537,071	100,540,369	3,299	+	2,627	ENSMUSG00000044881.7	protein_coding	68185	Coa4	0.879248150	MGI:MGI:1915435	-0.537883298	-5.509494865	0.000003459	0.002031982
chr13	113,794,505	114,157,461	362,957	+	3,515	ENSMUSG00000042348.10	protein_coding	218639	Arl15	23.052473632	MGI:MGI:2442308	0.206791703	5.514637171	0.000003405	0.002031982
chr2	119,547,697	119,587,027	39,331	+	3,499	ENSMUSG00000014077.13	protein_coding	56398	Chp1	28.561833248	MGI:MGI:1927185	0.157948849	5.477073174	0.000003816	0.002177892
chr17	29,490,753	29,496,112	5,360	+	3,362	ENSMUSG00000024014.8	protein_coding	18712	Pim1	9.871713576	MGI:MGI:97584	0.314730499	5.441603761	0.000004250	0.002357850
chr8	110,974,996	110,997,800	22,805	-	2,957	ENSMUSG00000015023.7	protein_coding	13680	Ddx19a	10.828340096	MGI:MGI:99526	0.168189901	5.404940053	0.000004749	0.002511385
chr18	78,750,380	79,109,391	359,012	-	9,953	ENSMUSG00000024548.11	protein_coding	240427	Setbp1	13.180185693	MGI:MGI:1933199	0.276878288	5.402965892	0.000004778	0.002511385
chr12	17,348,458	17,430,095	81,638	+	3,021	ENSMUSG00000061458.9	protein_coding	217431	Nol10	7.384614212	MGI:MGI:2684913	-0.251713342	-5.386450672	0.000005023	0.002572622
chr2	130,803,501	130,803,982	482	-	482	ENSMUSG00000089662.1	transcribed_processed_pseudogene	100043766	Gm14057	2.438669707	MGI:MGI:3705433	0.444257970	5.373108469	0.000005230	0.002611831
chr1	184,896,789	184,999,570	102,782	-	4,356	ENSMUSG00000026620.11	protein_coding	226778	Mark1	32.267665571	MGI:MGI:2664902	0.165342035	5.355241235	0.000005522	0.002689925
chr4	129,811,219	129,849,978	38,760	+	4,377	ENSMUSG00000028788.14	protein_coding	19244	Ptp4a2	45.215158233	MGI:MGI:1277117	0.134887877	5.324969472	0.000006052	0.002878159
chr5	27,740,080	27,791,691	51,612	-	10,271	ENSMUSG00000002221.11	protein_coding	55982	Paxip1	4.544107368	MGI:MGI:1890430	0.168919712	5.306140932	0.000006407	0.002976256
chr1	16,228,674	16,520,112	291,439	-	6,747	ENSMUSG00000025920.19	protein_coding	29819	Stau2	24.203972889	MGI:MGI:1352508	0.154946097	5.283085848	0.000006871	0.003049696
chr11	101,009,452	101,062,424	52,973	+	6,556	ENSMUSG00000019302.16	protein_coding	11975	Atp6v0a1	44.135794039	MGI:MGI:103286	0.228333632	5.289064524	0.000006747	0.003049696
chr14	66,985,239	67,008,856	23,618	-	3,859	ENSMUSG00000022051.15	protein_coding	12177	Bnip3l	374.269214894	MGI:MGI:1332659	0.151009476	5.274034803	0.000007062	0.003066313
chr12	36,091,835	36,158,080	66,246	-	5,413	ENSMUSG00000020547.5	protein_coding	66912	Bzw2	41.284122470	MGI:MGI:1914162	0.160309469	5.248995584	0.000007618	0.003237471
chr15	53,064,038	53,345,659	281,622	-	8,077	ENSMUSG00000061731.9	protein_coding	14042	Ext1	6.549624802	MGI:MGI:894663	0.151092605	5.207106579	0.000008648	0.003525137
chr19	3,851,773	3,894,365	42,593	+	12,024	ENSMUSG00000024843.15	protein_coding	12660	Chka	4.023392365	MGI:MGI:107760	0.239528172	5.211405186	0.000008536	0.003525137
chr4	129,058,271	129,085,735	27,465	+	2,872	ENSMUSG00000028793.15	protein_coding	75234	Rnf19b	25.711914186	MGI:MGI:1922484	0.161341942	5.180635407	0.000009369	0.003598768
chr7	138,940,730	139,081,770	141,041	+	5,843	ENSMUSG00000056856.13	protein_coding	74004	Jakmip3	3.101623537	MGI:MGI:1921254	-0.241468470	-5.184993134	0.000009246	0.003598768
chr9	7,184,520	7,208,205	23,686	+	3,077	ENSMUSG00000032002.10	protein_coding	76863	Dcun1d5	12.819149930	MGI:MGI:1924113	0.159624149	5.185948119	0.000009220	0.003598768
chr1	152,766,542	152,775,597	9,056	+	2,276	ENSMUSG00000008475.13	protein_coding	67771	Arpc5	92.893774557	MGI:MGI:1915021	0.131485864	5.167230450	0.000009757	0.003599256
chr10	118,141,811	118,168,997	27,187	+	4,116	ENSMUSG00000020212.14	protein_coding	17245	Mdm1	3.064101580	MGI:MGI:96951	0.240938042	5.162047682	0.000009911	0.003599256
chr18	50,042,730	50,053,660	10,931	-	2,694	ENSMUSG00000086600.8	processed_transcript	102635912	C030005K06Rik	0.789628859	MGI:MGI:1925945	0.335373978	5.172806042	0.000009594	0.003599256
chr5	100,518,309	100,547,803	29,495	+	5,006	ENSMUSG00000035297.14	protein_coding	26891	Cops4	14.161002309	MGI:MGI:1349414	0.102384984	5.151635492	0.000010228	0.003648068
chr4	10,988,662	11,007,927	19,266	-	3,039	ENSMUSG00000049969.3	protein_coding	71801	Plekhf2	8.032160303	MGI:MGI:1919051	0.233653029	5.139138135	0.000010622	0.003722096
chr14	63,606,503	63,820,809	214,307	+	7,258	ENSMUSG00000035067.9	protein_coding	219149	Xkr6	1.357294771	MGI:MGI:2447765	0.241413631	5.118203881	0.000011316	0.003830842
chr18	12,128,741	12,157,387	28,647	+	10,963	ENSMUSG00000024404.7	protein_coding	66878	Riok3	44.116271053	MGI:MGI:1914128	0.135438427	5.121023204	0.000011220	0.003830842
chr15	77,078,990	77,306,928	227,939	-	8,140	ENSMUSG00000033565.18	protein_coding	93686	Rbfox2	66.409385385	MGI:MGI:1933973	0.151792137	5.107180379	0.000011699	0.003894609
chr7	4,915,217	4,922,002	6,786	+	3,523	ENSMUSG00000074406.5	protein_coding	232816	Zfp628	4.880889169	MGI:MGI:2665174	0.329373385	5.086074014	0.000012469	0.004083016
chr7	12,881,177	12,893,422	12,246	+	4,087	ENSMUSG00000060397.6	protein_coding	243833	Zfp128	3.247691687	MGI:MGI:2389445	-0.275553638	-5.078979065	0.000012740	0.004104186
chr15	58,889,229	58,907,057	17,829	+	5,110	ENSMUSG00000037075.7	protein_coding	75841	Rnf139	7.752854620	MGI:MGI:1923091	0.146224476	5.053850945	0.000013744	0.004357470
chr5	29,735,688	29,818,134	82,447	+	6,062	ENSMUSG00000029131.14	protein_coding	23950	Dnajb6	28.612338103	MGI:MGI:1344381	0.106867012	5.034696676	0.000014562	0.004411376
chr7	27,731,389	27,753,702	22,314	+	8,390	ENSMUSG00000037640.15	protein_coding	22718	Zfp60	9.712859410	MGI:MGI:99207	-0.233525511	-5.041279891	0.000014276	0.004411376
chr15	8,169,106	8,271,158	102,053	+	13,095	ENSMUSG00000039801.7	protein_coding	73692	Cplane1	4.094948192	MGI:MGI:1920942	0.173972951	5.034367374	0.000014576	0.004411376
chr7	100,706,635	100,841,381	134,747	+	7,252	ENSMUSG00000029461.17	protein_coding	319604	Fam168a	45.984714621	MGI:MGI:2442372	0.131657354	5.008137563	0.000015777	0.004594398
chr15	65,787,034	65,873,816	86,783	+	11,399	ENSMUSG00000015002.18	protein_coding	76740	Efr3a	5.752451412	MGI:MGI:1923990	-0.247169365	-5.011120522	0.000015636	0.004594398
chr16	16,896,469	16,927,364	30,896	+	4,922	ENSMUSG00000026181.13	protein_coding	68606	Ppm1f	10.221062275	MGI:MGI:1918464	-0.147678098	-5.006162725	0.000015871	0.004594398
chr11	4,765,845	4,849,536	83,692	-	6,825	ENSMUSG00000009073.16	protein_coding	18016	Nf2	27.782850289	MGI:MGI:97307	0.123720637	4.988508366	0.000016739	0.004709160
chr17	69,417,402	69,418,931	1,530	+	4,231	ENSMUSG00000073374.3	lincRNA	77533	C030034I22Rik	0.812147491	MGI:MGI:1924783	0.366314141	4.989876684	0.000016670	0.004709160
chr5	74,592,447	74,702,912	110,466	-	3,829	ENSMUSG00000029228.15	protein_coding	16924	Lnx1	3.027142086	MGI:MGI:1278335	-0.285909841	-4.982143781	0.000017064	0.004733733
chr1	120,474,538	120,505,024	30,487	-	1,925	ENSMUSG00000026390.7	protein_coding	17167	Marco	0.551253004	MGI:MGI:1309998	-2.118616596	-4.953520366	0.000018601	0.004952765
chr2	29,935,426	29,960,371	24,946	+	6,087	ENSMUSG00000019715.14	protein_coding	74412	Gle1	12.258329203	MGI:MGI:1921662	0.160004800	4.960212268	0.000018230	0.004952765
chr4	34,663,257	34,687,438	24,182	-	2,293	ENSMUSG00000028293.14	protein_coding	24060	Slc35a1	10.070984522	MGI:MGI:1345622	-0.167571311	-4.949197806	0.000018845	0.004952765
chr16	77,419,251	77,421,820	2,570	-	2,570	ENSMUSG00000102344.1	TEC	102633149	9430053O09Rik	3.374118650	MGI:MGI:2442604	0.276361292	4.953641311	0.000018594	0.004952765
chr17	50,509,403	50,688,484	179,082	+	6,626	ENSMUSG00000038910.7	protein_coding	224860	Plcl2	13.109071800	MGI:MGI:1352756	0.180795501	4.936945865	0.000019554	0.005072242
chr7	43,562,256	43,574,966	12,711	+	3,495	ENSMUSG00000056592.14	protein_coding	210104	Zfp658	3.926633045	MGI:MGI:2652821	-0.364966248	-4.932195115	0.000019835	0.005079377
chr1	3,647,309	3,658,904	11,596	-	3,259	ENSMUSG00000102331.1	sense_intronic	100503874	Gm19938	0.086967166	MGI:MGI:5012123	0.899514081	4.924896372	0.000020276	0.005126535
chr2	37,483,228	37,703,859	220,632	-	18,616	ENSMUSG00000026915.16	protein_coding	20744	Strbp	8.482930683	MGI:MGI:104626	0.139180162	4.915000190	0.000020889	0.005164370
chr15	98,949,837	98,953,703	3,867	-	1,803	ENSMUSG00000072235.6	protein_coding	22142	Tuba1a	2,099.329372656	MGI:MGI:98869	0.108104856	4.906047749	0.000021460	0.005164370
chr19	46,376,811	46,395,747	18,937	-	4,320	ENSMUSG00000025228.5	protein_coding	54130	Actr1a	77.759681626	MGI:MGI:1858964	0.110510513	4.911289712	0.000021124	0.005164370
chrX	73,793,359	73,824,969	31,611	-	3,970	ENSMUSG00000002006.12	protein_coding	245469	Pdzd4	65.129133792	MGI:MGI:2443483	0.131157788	4.908927040	0.000021275	0.005164370
chr4	106,910,701	107,049,694	138,994	+	6,582	ENSMUSG00000061887.14	protein_coding	72475	Ssbp3	25.996695249	MGI:MGI:1919725	0.138878445	4.883154799	0.000022990	0.005427593
chr7	25,228,258	25,237,851	9,594	-	2,900	ENSMUSG00000057177.12	protein_coding	606496	Gsk3a	68.927645180	MGI:MGI:2152453	0.122515939	4.874496530	0.000023597	0.005427593
chr7	119,140,747	119,184,603	43,857	-	4,843	ENSMUSG00000066197.5	protein_coding	209776	Gpr139	1.391457142	MGI:MGI:2685341	-0.339966092	-4.876706198	0.000023441	0.005427593
chr8	86,808,160	86,885,258	77,099	-	12,189	ENSMUSG00000031652.11	protein_coding	80750	N4bp1	4.077725283	MGI:MGI:2136825	-0.201905127	-4.871770156	0.000023791	0.005427593
chr13	73,467,197	73,516,422	49,226	+	4,632	ENSMUSG00000021608.15	protein_coding	210992	Lpcat1	27.315825070	MGI:MGI:2384812	0.175343145	4.870081715	0.000023912	0.005427593
chr3	88,920,803	88,951,181	30,379	-	6,483	ENSMUSG00000068921.14	protein_coding	65111	Dap3	10.900081973	MGI:MGI:1929538	0.124600938	4.865862555	0.000024218	0.005435132
chr7	97,788,541	97,911,883	123,343	+	3,943	ENSMUSG00000030774.13	protein_coding	18479	Pak1	75.228208998	MGI:MGI:1339975	0.120595358	4.861571644	0.000024532	0.005444536
chr6	47,453,398	47,526,058	72,661	+	4,040	ENSMUSG00000029686.15	protein_coding	26965	Cul1	36.794022501	MGI:MGI:1349658	0.113813103	4.853223389	0.000025156	0.005461542
chr14	26,638,074	26,665,084	27,011	+	3,603	ENSMUSG00000021877.12	protein_coding	11843	Arf4	50.222223512	MGI:MGI:99433	0.119697294	4.854229445	0.000025080	0.005461542
chr9	75,497,707	75,559,657	61,951	-	11,151	ENSMUSG00000058587.9	protein_coding	50875	Tmod3	5.354967811	MGI:MGI:1355315	0.185485180	4.845909442	0.000025715	0.005522905
chr9	123,170,824	123,216,038	45,215	-	6,765	ENSMUSG00000035498.10	protein_coding	109332	Cdcp1	0.070300545	MGI:MGI:2442010	-0.706491866	-4.841093291	0.000026090	0.005543812
chr4	41,135,743	41,190,823	55,081	+	4,189	ENSMUSG00000036241.3	protein_coding	67615	Ube2r2	62.067740019	MGI:MGI:1914865	0.122493515	4.837237202	0.000026394	0.005549387
chr1	52,163,448	52,233,223	69,776	-	15,057	ENSMUSG00000026103.14	protein_coding	14660	Gls	12.757142704	MGI:MGI:95752	0.199755077	4.826763329	0.000027238	0.005608708
chr5	93,181,933	93,206,495	24,563	-	3,303	ENSMUSG00000063015.12	protein_coding	12453	Ccni	88.241961576	MGI:MGI:1341077	0.133204554	4.827627450	0.000027167	0.005608708
chr8	83,608,193	83,612,653	4,461	+	3,204	ENSMUSG00000005483.10	protein_coding	81489	Dnajb1	20.356624472	MGI:MGI:1931874	0.166216079	4.812870361	0.000028398	0.005718263
chr11	98,704,591	98,729,418	24,828	-	6,528	ENSMUSG00000017210.14	protein_coding	23989	Med24	13.217456153	MGI:MGI:1344385	0.146672874	4.805029677	0.000029075	0.005718263
chr17	6,106,437	6,251,128	144,692	+	18,054	ENSMUSG00000034377.10	protein_coding	68842	Tulp4	13.220342603	MGI:MGI:1916092	0.163154974	4.803583966	0.000029201	0.005718263
chr17	30,215,524	30,576,488	360,965	-	18,201	ENSMUSG00000062202.14	protein_coding	224671	Btbd9	5.303320446	MGI:MGI:1916625	0.120802778	4.803631340	0.000029197	0.005718263
chr18	22,693,181	23,041,653	348,473	-	5,692	ENSMUSG00000041923.15	protein_coding	319211	Nol4	20.468295949	MGI:MGI:2441684	0.189261018	4.805547992	0.000029029	0.005718263
chr2	180,024,987	180,035,461	10,475	+	2,892	ENSMUSG00000039108.14	protein_coding	241846	Lsm14b	59.397921087	MGI:MGI:3040677	0.157649859	4.792108880	0.000030224	0.005805011
chr5	30,950,066	30,955,091	5,026	+	1,352	ENSMUSG00000006638.15	polymorphic_pseudogene	57742	Abhd1	0.736037528	MGI:MGI:1931013	-0.604328655	-4.792098215	0.000030225	0.005805011
chr1	132,959,484	133,030,561	71,078	-	14,798	ENSMUSG00000054387.13	protein_coding	17248	Mdm4	5.631667652	MGI:MGI:107934	0.169046848	4.772822789	0.000032025	0.006092035
chr1	10,037,987	10,136,768	98,782	+	17,553	ENSMUSG00000056763.16	protein_coding	211660	Cspp1	1.157051400	MGI:MGI:2681832	0.225114677	4.754089726	0.000033875	0.006380010
chr18	42,637,432	43,083,127	445,696	-	4,035	ENSMUSG00000024500.20	protein_coding	72930	Ppp2r2b	46.725723802	MGI:MGI:1920180	0.110912662	4.751125780	0.000034177	0.006380010
chr1	32,172,714	32,658,568	485,855	+	10,291	ENSMUSG00000026058.11	protein_coding	170771	Khdrbs2	1.285618175	MGI:MGI:2159649	0.206158775	4.735721402	0.000035792	0.006440659
chr3	152,210,422	152,236,826	26,405	+	15,500	ENSMUSG00000028034.15	protein_coding	51886	Fubp1	8.694191196	MGI:MGI:1196294	0.239153567	4.737239942	0.000035630	0.006440659
chr5	122,482,800	122,484,999	2,200	-	2,200	ENSMUSG00000105434.1	TEC	NA	Gm43359	0.077762117	NA	1.085320542	4.743781724	0.000034938	0.006440659
chr12	111,417,017	111,431,678	14,662	+	5,650	ENSMUSG00000021280.9	protein_coding	74190	Exoc3l4	0.138627682	MGI:MGI:1921363	-0.518542605	-4.739743267	0.000035363	0.006440659
chr3	116,488,963	116,508,208	19,246	-	1,880	ENSMUSG00000000339.14	protein_coding	66368	Rtca	29.274304572	MGI:MGI:1913618	0.119590751	4.726923389	0.000036748	0.006495623
chr7	45,806,637	45,814,581	7,945	-	3,445	ENSMUSG00000003269.17	protein_coding	19158	Cyth2	37.312043429	MGI:MGI:1334255	0.167739325	4.727623652	0.000036671	0.006495623
chr7	84,246,278	84,410,119	163,842	-	7,689	ENSMUSG00000015709.9	protein_coding	11864	Arnt2	60.611061335	MGI:MGI:107188	0.146776970	4.719862645	0.000037533	0.006529263
chr12	108,106,431	108,179,314	72,884	-	6,035	ENSMUSG00000056770.15	protein_coding	52690	Setd3	27.730831735	MGI:MGI:1289184	0.121003563	4.719340388	0.000037592	0.006529263
chr3	95,878,503	95,882,231	3,729	-	2,261	ENSMUSG00000038550.10	protein_coding	229599	Ciart	1.724110774	MGI:MGI:2684975	0.411299734	4.715458092	0.000038032	0.006548662
chr8	46,617,291	46,639,566	22,276	+	3,357	ENSMUSG00000031628.9	protein_coding	12367	Casp3	62.226855316	MGI:MGI:107739	0.124904200	4.701937755	0.000039602	0.006760857
chr5	38,137,192	38,159,907	22,716	-	3,215	ENSMUSG00000029126.7	protein_coding	18196	Nsg1	227.792930208	MGI:MGI:109149	0.103604267	4.688074226	0.000041280	0.006885346
chr5	149,046,702	149,184,489	137,788	-	5,023	ENSMUSG00000066551.12	protein_coding	15289	Hmgb1	26.323122984	MGI:MGI:96113	0.146175739	4.690590173	0.000040970	0.006885346
chrX	71,555,918	71,560,676	4,759	+	2,234	ENSMUSG00000015217.11	protein_coding	15354	Hmgb3	71.907416712	MGI:MGI:1098219	0.144937975	4.687378251	0.000041366	0.006885346
chr8	121,590,361	121,598,760	8,400	+	7,517	ENSMUSG00000031812.16	protein_coding	67443	Map1lc3b	52.758950475	MGI:MGI:1914693	0.112112659	4.670880966	0.000043458	0.007173781
chr2	91,710,852	91,721,545	10,694	+	5,588	ENSMUSG00000027243.8	protein_coding	241547	Harbi1	1.302519036	MGI:MGI:2443194	-0.242393871	-4.667597287	0.000043887	0.007184803
chr9	63,646,767	63,757,994	111,228	-	5,542	ENSMUSG00000032402.12	protein_coding	17127	Smad3	7.228565353	MGI:MGI:1201674	0.210782043	4.664883485	0.000044244	0.007184803
chr12	25,093,799	25,097,140	3,342	-	2,438	ENSMUSG00000020644.9	protein_coding	15902	Id2	65.657591285	MGI:MGI:96397	0.205812416	4.661409452	0.000044706	0.007201250
chr1	85,793,441	85,851,576	58,136	+	7,077	ENSMUSG00000036707.16	protein_coding	12283	Cab39	31.241306584	MGI:MGI:107438	0.153924207	4.649797457	0.000046284	0.007395866
chr17	72,836,453	72,851,195	14,743	+	4,185	ENSMUSG00000039770.6	protein_coding	383295	Ypel5	49.713497790	MGI:MGI:1916937	0.101477459	4.646849382	0.000046694	0.007402074
chr1	118,294,778	118,311,462	16,685	-	9,046	ENSMUSG00000026374.14	protein_coding	22099	Tsn	23.840153660	MGI:MGI:109263	0.117901126	4.635574464	0.000048293	0.007488361
chr8	72,240,018	72,257,385	17,368	+	3,184	ENSMUSG00000003033.15	protein_coding	11767	Ap1m1	38.984835026	MGI:MGI:102776	0.110860714	4.635090358	0.000048363	0.007488361
chr11	102,958,300	102,964,387	6,088	-	1,187	ENSMUSG00000085338.1	lincRNA	69739	2410004I01Rik	0.796793106	MGI:MGI:1916989	-0.459007748	-4.635806076	0.000048260	0.007488361
chr16	18,811,779	18,835,256	23,478	+	4,336	ENSMUSG00000005262.13	protein_coding	22230	Ufd1	17.891010956	MGI:MGI:109353	0.109162818	4.621595213	0.000050351	0.007736237
chr15	58,941,234	59,081,989	140,756	-	11,345	ENSMUSG00000022353.10	protein_coding	211401	Mtss1	15.269965656	MGI:MGI:2384818	0.117517513	4.617433984	0.000050980	0.007773117
chr10	61,319,656	61,383,530	63,875	-	4,535	ENSMUSG00000020092.9	protein_coding	27355	Pald1	4.841742805	MGI:MGI:1351623	0.161135260	4.612039136	0.000051807	0.007839415
chr4	125,016,585	125,055,376	38,792	+	3,683	ENSMUSG00000028869.13	protein_coding	230737	Gnl2	16.447481901	MGI:MGI:2385207	0.162145610	4.608237176	0.000052398	0.007869225
chr1	40,772,038	40,790,663	18,626	-	5,125	ENSMUSG00000041945.12	protein_coding	211798	Mfsd9	1.621217871	MGI:MGI:2443548	-0.228138939	-4.602873923	0.000053243	0.007877667
chr13	9,684,833	9,765,330	80,498	-	10,955	ENSMUSG00000021156.17	protein_coding	66505	Zmynd11	18.670623606	MGI:MGI:1913755	0.110171295	4.604450972	0.000052994	0.007877667
chr4	131,923,413	132,075,292	151,880	-	16,386	ENSMUSG00000028906.17	protein_coding	269587	Epb41	62.450683393	MGI:MGI:95401	0.170023147	4.598160951	0.000053997	0.007925005
chr7	138,846,079	138,883,057	36,979	+	5,903	ENSMUSG00000041769.13	protein_coding	52432	Ppp2r2d	13.328223844	MGI:MGI:1289252	0.111232934	4.593494493	0.000054754	0.007925005
chr8	46,151,771	46,195,586	43,816	+	5,157	ENSMUSG00000031631.15	protein_coding	66756	Cfap97	4.604927856	MGI:MGI:1914006	-0.196154700	-4.593682442	0.000054723	0.007925005
chr10	128,557,766	128,565,934	8,169	-	2,804	ENSMUSG00000025364.13	protein_coding	18813	Pa2g4	40.300230405	MGI:MGI:894684	0.131880621	4.590702449	0.000055211	0.007933758
chr13	70,551,707	70,637,634	85,928	-	11,190	ENSMUSG00000034525.7	protein_coding	218333	Ice1	13.265975724	MGI:MGI:2385865	0.143102167	4.586333336	0.000055935	0.007980353
chr5	143,503,634	143,528,036	24,403	-	4,496	ENSMUSG00000001847.14	protein_coding	19353	Rac1	87.956114617	MGI:MGI:97845	0.099781975	4.570667699	0.000058608	0.008295748
chr6	117,900,324	117,923,849	23,526	+	3,047	ENSMUSG00000042079.13	protein_coding	98758	Hnrnpf	21.783198245	MGI:MGI:2138741	0.113844114	4.567673121	0.000059133	0.008295748
